" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Cunningham                     Jared Cunningham","SG","22","$1,208,400","2.06%","$1,208,400","$1,208,400","$1,208,400","'-"
"2","Jamison                     Antawn Jamison","PF","37","$884,293","1.51%","$884,293","$884,293","$1,399,507","'-"
"3","Martin                     Cartier Martin","PF","29","$435,144","0.74%","$435,144","$435,144","$435,144","'-"
"4","Tyler                     Jeremy Tyler","PF","22","$100,000","0.17%","$100,000","$100,000","$100,000","'-"
"5","Martin                     Cartier Martin","PF","29","$60,437","0.10%","$60,437","$60,437","$60,437","'-"
"6","Martin                     Cartier Martin","PF","29","$60,437","0.10%","$60,437","$60,437","$60,437","'-"
"7","Armstrong                     Hilton Armstrong","C","29","$52,017","0.09%","$52,017","$52,017","$60,437","'-"
"8","Pittman                     Dexter Pittman","C","25","$52,017","0.09%","$52,017","$52,017","$52,017","'-"
"9","Thomas                     Adonis Thomas","SF","20","$50,000","0.09%","$50,000","$50,000","'-","'-"
"10","Nunnally                     James Nunnally","SF","23","$28,834","0.05%","$28,834","$28,834","'-","'-"
"11","Nunnally                     James Nunnally","SF","23","$28,834","0.05%","$28,834","$28,834","'-","'-"

