" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Collins                     John Collins","PF","24","$23,000,000","20.46%","$23,000,000","$23,000,000","$23,000,000","$23,000,000","2026"
"2","Gallinari                     Danilo Gallinari","PF","33","$20,475,000","18.21%","$20,475,000","$20,475,000","$20,475,000","$20,475,000","2023"
"3","Bogdanovic                     Bogdan Bogdanovic","SG","29","$18,000,000","16.01%","$18,000,000","$18,000,000","$18,000,000","$18,000,000","2027"
"4","Capela                     Clint Capela","C","27","$17,103,448","15.21%","$19,103,448","$17,103,448","$17,103,448","$17,103,448","2028"
"5","Wright                     Delon Wright","PG","29","$8,526,316","7.58%","$9,576,316","$8,526,316","$8,526,316","$8,526,316","2022"
"6","Young                     Trae Young","PG","23","$8,326,471","7.41%","$8,326,471","$8,326,471","$8,326,471","$8,326,471","2027"
"7","Hunter                     De'Andre Hunter","SF","24","$7,775,400","6.92%","$7,775,400","$7,775,400","$7,775,400","$7,775,400","2027"
"8","Okongwu                     Onyeka Okongwu","C","21","$6,104,280","5.43%","$6,104,280","$6,104,280","$6,104,280","$6,104,280","2028"
"9","Knox                     Kevin Knox","SF","22","$5,845,978","5.20%","$5,845,978","$5,845,978","$5,845,978","$5,845,978","2022"
"10","Williams                     Louis Williams","SG","35","$5,000,000","4.45%","$5,000,000","$5,000,000","$5,000,000","$5,000,000","2022"
"11","Huerter                     Kevin Huerter","SG","23","$4,253,357","3.78%","$4,253,357","$4,253,357","$4,253,357","$4,253,357",""
"12","Dieng                     Gorgui Dieng","C","32","$4,000,000","3.56%","$4,000,000","$4,000,000","$4,000,000","$4,000,000","2022"
"13","Johnson                     Jalen Johnson","SF","20","$2,659,680","2.37%","$2,659,680","$2,659,680","$2,659,680","$2,659,680","2030"
"14","Luwawu-Cabarrot                     Timothe Luwawu-Cabarrot","SG","26","$1,669,178","1.48%","$1,669,178","$1,669,178","$1,939,350","$1,939,350","2022"
"15","Mays                     Skylar Mays","SG","24","$34,231","0.03%","$34,231","$38,372","$34,231","$34,231","2022"
"16","Cooper                     Sharife Cooper","PG","20","Two-Way","'-","'-","'-","'-","'-","2026"
"17","Brown                     Chaundee Brown","SF","23","Two-Way","'-","'-","'-","'-","'-","2023"

