"Player (11 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Johnson                   Jalen Johnson","SF","25","RK-EXT","$30,000,000","18.07%","$30,000,000","'-","'-","'-","$30,000,000"
"Daniels                   Dyson Daniels","PG","23","RK-EXT","$25,000,000","15.06%","$25,000,000","'-","'-","'-","$25,000,000"
"Kuminga                   Jonathan Kuminga","PF","24","FA","$24,300,000","14.64%","$24,300,000","'-","'-","'-","'-"
"Okongwu                   Onyeka Okongwu","C","26","RK-EXT","$16,100,000","9.70%","$16,100,000","'-","'-","'-","$16,100,000"
"Alexander-Walker                   Nickeil Alexander-Walker","SG","28","S&T","$14,403,710","8.68%","$14,403,710","'-","'-","'-","$14,403,710"
"Kispert                   Corey Kispert","SF","27","RK-EXT","$13,975,000","8.42%","$13,975,000","'-","'-","'-","$13,975,000"
"Risacher                   Zaccharie Risacher","SF","21","RK-1ST","$13,826,040","8.33%","$13,826,040","'-","'-","'-","$13,826,040"
"Hield                   Buddy Hield","SG","34","S&T","$9,658,536","5.82%","$9,658,536","'-","'-","'-","$3,000,000"
"Newell                   Asa Newell","PF","21","RK-1ST","$3,399,480","2.05%","$3,399,480","'-","'-","'-","$3,399,480"
"Gueye                   Mouhamed Gueye","PF","24","RK-2ND","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"
"Djurisic                   Nikola Djurisic","SF","22","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","'-"

