"Player (9)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"McCollum                   C.J. McCollum","SG","35","VET-EXT","$45,999,999","27.71%","'-","","","Bird",""
"Vincent                   Gabe Vincent","PG","30","FA","$21,850,000","13.16%","'-","","","Bird",""
"Wallace                   Keaton Wallace","G","27","","$3,409,966","2.05%","$3,409,966","","","",""
"Matthews                   Wesley Matthews","SG","40","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Landale                   Jock Landale","C","31","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Forrest                   Trent Forrest","PG","28","ROS","$2,464,849","1.48%","'-","","","Early Bird",""
"Windler                   Dylan Windler","SF","30","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Koloko                   Christian Koloko","C","26","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Houstan                   Caleb Houstan","SF","24","2W","$2,198,879","1.32%","$2,198,879","","","",""
"Incomplete Roster Charge"," "," "," ","                                   $1,366,314"," "," "," "," "," "," "

