" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Dooling                     Keyon Dooling","SG","32","$400,000","0.69%","$400,000","$400,000","$400,000","'-"
"2","Christmas                     Dionte Christmas","SG","26","$200,000","0.34%","$200,000","$200,000","$200,000","'-"
"3","Joseph                     Kris Joseph","SF","24","$197,799","0.34%","$197,799","$197,799","$197,799","'-"
"4","Milicic                     Darko Milicic","PF","27","$180,773","0.31%","$180,773","$180,773","$180,773","'-"
"5","Randolph                     Shavlik Randolph","PF","29","$58,393","0.10%","$58,393","$58,393","$58,393","'-"
"6","White                     D.J. White","PF","26","$53,874","0.09%","$53,874","$53,874","$53,874","'-"
"7","White                     D.J. White","PF","26","$53,874","0.09%","$53,874","$53,874","$53,874","'-"
"8","Randolph                     Shavlik Randolph","PF","29","$50,258","0.09%","$50,258","$50,258","$58,393","'-"
"9","Williams                     Terrence Williams","SG","25","$50,258","0.09%","$50,258","$50,258","'-","'-"
"10","Varnado                     Jarvis Varnado","PF","24","$44,574","0.08%","$44,574","$44,574","$44,574","'-"
