" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Hayward                     Gordon Hayward","SF","27","$29,727,900","30.00%","$29,727,900","$29,727,900","$29,727,900","$29,727,900","2021"
"2","Horford                     Al Horford","C","31","$27,734,405","27.99%","$27,734,405","$27,734,405","$27,734,405","$27,734,405","2027"
"3","Irving                     Kyrie Irving","PG","25","$18,868,625","19.04%","$18,868,625","$18,868,625","$18,868,625","$18,868,625","2028"
"4","Tatum                     Jayson Tatum","SF","19","$5,645,400","5.70%","$5,645,400","$5,645,400","$5,645,400","$5,645,400","2030"
"5","Monroe                     Greg Monroe","C","27","$5,000,000","5.05%","$5,000,000","$5,000,000","$5,000,000","$5,000,000","2018"
"6","Morris Sr.                     Marcus Morris Sr.","PF","28","$5,000,000","5.05%","$5,000,000","$5,000,000","$5,000,000","$5,000,000","2019"
"7","Brown                     Jaylen Brown","SG","21","$4,956,480","5.00%","$4,956,480","$4,956,480","$4,956,480","$4,956,480","2029"
"8","Smart                     Marcus Smart","PG","23","$4,538,020","4.58%","$4,538,020","$4,538,020","$4,538,020","$4,538,020","2027"
"9","Baynes                     Aron Baynes","C","31","$4,328,000","4.37%","$4,328,000","$4,328,000","$4,328,000","$4,328,000","2018"
"10","Yabusele                     Guerschon Yabusele","PF","22","$2,247,480","2.27%","$2,247,480","$2,247,480","$2,247,480","$2,247,480","2027"
"11","Rozier                     Terry Rozier","PG","23","$1,988,520","2.01%","$1,988,520","$1,988,520","$1,988,520","$1,988,520","2026"
"12","Larkin                     Shane Larkin","PG","25","$1,471,382","1.48%","$1,471,382","$1,471,382","$1,524,305","$1,524,305","2018"
"13","Ojeleye                     Semi Ojeleye","PF","23","$1,291,892","1.30%","$1,291,892","$1,291,892","$1,291,892","$1,291,892","2021"
"14","Nader                     Abdel Nader","SF","24","$1,167,333","1.18%","$1,167,333","$1,167,333","$1,167,333","$1,167,333","2021"
"15","Theis                     Daniel Theis","PF","25","$815,615","0.82%","$815,615","$1,471,382","$815,615","$815,615","2019"
"16","Gibson                     Jonathan Gibson","PG","30","$44,495","0.04%","$44,495","$44,495","$44,495","$44,495","2018"
"17","Allen                     Kadeem Allen","SG","25","Two-Way","'-","'-","'-","$75,000","$50,000",""
"18","Bird                     Jabari Bird","SG","23","Two-Way","'-","'-","'-","$75,000","$50,000",""

