"Player (11 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Tatum                   Jayson Tatum","PF","28","DVET-EXT","$58,456,566","35.21%","$58,456,566","'-","'-","'-","$58,456,566"
"Brown                   Jaylen Brown","SF","30","DVET-EXT","$57,078,728","34.38%","$57,078,728","'-","'-","'-","$57,078,728"
"White                   Derrick White","PG","32","VET-EXT","$30,348,000","18.28%","$28,458,000","$1,890,000","'-","'-","$28,458,000"
"Hauser                   Sam Hauser","SF","29","VET-EXT","$10,848,215","6.54%","$10,848,215","'-","'-","'-","$10,848,215"
"Pritchard                   Payton Pritchard","PG","29","RK-EXT","$7,767,857","4.68%","$7,767,857","'-","'-","'-","$7,767,857"
"Gonzalez                   Hugo Gonzalez","SF","20","RK-1ST","$2,923,560","1.76%","$2,923,560","'-","'-","'-","$2,923,560"
"Garza                   Luka Garza","C","28","FA","$2,801,346","1.69%","$2,801,346","'-","'-","'-","$2,801,346"
"Scheierman                   Baylor Scheierman","SG","26","RK-1ST","$2,744,040","1.65%","$2,744,040","'-","'-","'-","$2,744,040"
"Queta                   Neemias Queta","C","27","FA","$2,667,944","1.61%","$2,667,944","'-","'-","'-","'-"
"Walsh                   Jordan Walsh","SF","22","RK-2ND","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"
"Williams                   Amari Williams","C","25","ROS","$2,150,917","1.30%","$2,150,917","'-","'-","'-","'-"

