" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Simons                     Anfernee Simons","SG","27","$41,517,857","25.01%","","","","","Bird"
"2","Griffin                     Blake Griffin","C","37","$2,464,849","1.48%","","","","","Non-Bird"
"3","Boucher                     Chris Boucher","PF","34","$2,464,849","1.48%","","","","","Non-Bird"
"4","Craig                     Torrey Craig","SF","36","$2,464,849","1.48%","","","","","Non-Bird"
"5","Tillman                     Xavier Tillman","C","28","$2,464,849","1.48%","","","","","Bird"
"6","Harper Jr.                     Ron Harper Jr.","SG","26","$2,198,879","1.32%","","","","","Two-Way"
"7","Williams                     Amari Williams","C","25","$2,198,879","1.32%","","","","","Two-Way"
"8","Shulga                     Max Shulga","G","24","$2,198,879","1.32%","","","","","Two-Way"
"9","Kabengele                     Mfiondu Kabengele","PF","29","$2,198,879","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $1,366,314"," "," "," "," "," "," "

