" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Johnson                     Joe Johnson","SG","33","$23,180,790","36.76%","$23,180,790","$23,180,790","$23,180,790","$23,180,790","2016"
"2","Williams                     Deron Williams","PG","30","$19,754,465","31.32%","$19,754,465","$19,754,465","$19,754,465","$19,754,465","2015"
"3","Lopez                     Brook Lopez","C","26","$15,719,063","24.93%","$15,719,063","$15,719,063","$15,719,063","$15,719,063","2027"
"4","Young                     Thaddeus Young","PF","26","$9,660,869","15.32%","$9,660,869","$9,660,869","$9,660,869","$9,160,869","2015"
"5","Jack                     Jarrett Jack","PG","31","$6,300,000","9.99%","$6,300,000","$6,300,000","$6,300,000","'-","2017"
"6","Outlaw                     Travis Outlaw","SF","30","$4,000,000","6.34%","$4,000,000","$4,000,000","$4,000,000","'-",""
"7","Teletovic                     Mirza Teletovic","PF","29","$3,368,100","5.34%","$3,368,100","$3,368,100","$3,368,100","$3,368,100","2015"
"8","Bogdanovic                     Bojan Bogdanovic","SF","25","$3,278,000","5.20%","$3,278,000","$3,278,000","$3,278,000","'-","2017"
"9","Karasev                     Sergey Karasev","SG","21","$1,533,840","2.43%","$1,533,840","$1,533,840","$1,533,840","'-","2016"
"10","Plumlee                     Mason Plumlee","C","24","$1,357,080","2.15%","$1,357,080","$1,357,080","$1,357,080","'-","2026"
"11","Anderson                     Alan Anderson","SG","32","$1,276,061","2.02%","$1,276,061","$1,276,061","$1,276,061","'-","2016"
"12","Jordan                     Jerome Jordan","C","28","$816,482","1.29%","$816,482","$816,482","$816,482","'-","2015"
"13","Morris                     Darius Morris","PG","24","$702,756","1.11%","$702,756","$702,756","$702,756","'-","2016"
"14","Brown                     Markel Brown","SG","23","$507,336","0.80%","$507,336","$507,336","$507,336","'-","2016"
"15","Jefferson                     Cory Jefferson","PF","24","$507,336","0.80%","$507,336","$507,336","$507,336","'-","2016"
"16","Clark                     Earl Clark","SF","27","$62,552","0.10%","$62,552","$62,552","$62,552","'-","2015"

