" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Thomas                     Cameron Thomas","SG","24","$5,993,172","3.88%","$5,993,172","$5,993,172","$5,993,172","'-"
"2","Highsmith                     Haywood Highsmith","F","29","$5,616,000","3.63%","$5,616,000","$5,616,000","$5,616,000","'-"
"3","Bufkin                     Kobe Bufkin","PG","22","$4,503,720","2.91%","$4,503,720","$4,503,720","$4,503,720","'-"
"4","Whitehead                     Dariq Whitehead","SG","21","$3,262,560","2.11%","$3,262,560","$3,262,560","$3,262,560","'-"
"5","Tyson                     Hunter Tyson","SF","25","$2,221,677","1.44%","$2,221,677","$2,221,677","$842,705","'-"
"6","Martin                     Tyrese Martin","SF","26","$2,191,897","1.42%","$2,191,897","$2,191,897","$2,191,897","'-"
"7","Johnson                     Keon Johnson","SG","23","$271,614","0.18%","$271,614","$271,614","$271,614","'-"
"8","Lewis                     Maxwell Lewis","SF","23","$100,000","0.06%","$100,000","$100,000","$100,000","'-"
"9","Collins                     Yuri Collins","G","24","$85,300","0.06%","$85,300","$85,300","$85,300","'-"
"10","Muoka                     David Muoka","C","25","$85,300","0.06%","$85,300","$85,300","$85,300","'-"
"11","Davis                     D'Andre Davis","SG","24","$85,300","0.06%","$85,300","$85,300","$85,300","'-"
"12","Scott                     Trevon Scott","SF","29","$45,000","0.03%","$45,000","$45,000","$45,000","'-"
"13","Smith                     Malachi Smith","G","26","$42,650","0.03%","$42,650","$42,650","$42,650","'-"
"14","Roberts                     Terry Roberts","G","25","$25,000","0.02%","$25,000","$25,000","$25,000","'-"

