"Player (12 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Porter Jr.                   Michael Porter Jr.","SF","28","DRK-EXT","$40,806,150","24.58%","$40,806,150","'-","'-","'-","$40,806,150"
"Claxton                   Nicolas Claxton","C","27","FA","$23,147,727","13.94%","$23,147,727","'-","$715,907","'-","$23,147,727"
"Mann                   Terance Mann","SG","30","VET-EXT","$15,500,000","9.34%","$15,500,000","'-","'-","'-","$15,500,000"
"Demin                   Egor Demin","PG","20","RK-1ST","$7,233,720","4.36%","$7,233,720","'-","'-","'-","$7,233,720"
"Williams                   Ziaire Williams","SF","25","FA","$6,250,000","3.77%","$6,250,000","'-","'-","'-","'-"
"Sharpe                   Day'Ron Sharpe","C","25","FA","$6,250,000","3.77%","$6,250,000","'-","'-","'-","'-"
"Clowney                   Noah Clowney","PF","22","RK-1ST","$5,414,034","3.26%","$5,414,034","'-","'-","'-","$5,414,034"
"Traore                   Nolan Traore","PG","20","RK-1ST","$4,002,000","2.41%","$4,002,000","'-","'-","'-","$4,002,000"
"Powell                   Drake Powell","SF","21","RK-1ST","$3,540,600","2.13%","$3,540,600","'-","'-","'-","$3,540,600"
"Saraf                   Ben Saraf","PG","20","RK-1ST","$3,028,560","1.82%","$3,028,560","'-","'-","'-","$3,028,560"
"Wolf                   Danny Wolf","PF","22","RK-1ST","$2,941,440","1.77%","$2,941,440","'-","'-","'-","$2,941,440"
"Minott                   Josh Minott","SF","24","FA","$2,584,539","1.56%","$2,584,539","'-","'-","'-","'-"

