" ","Player (8)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Thomas                     Cameron Thomas","SG","25","$11,387,027","6.86%","","","","","Bird"
"2","Highsmith                     Haywood Highsmith","F","30","$10,670,400","6.43%","","","","","Bird"
"3","Milutinov                     Nikola Milutinov","C","32","$3,173,040","1.91%","","","","","1st Round Pick"
"4","Wilson                     Jalen Wilson","PF","26","$2,999,264","1.81%","","","","","Restricted Bird"
"5","Martin                     Tyrese Martin","SF","27","$2,959,061","1.78%","","","","","Restricted Early Bird"
"6","Liddell                     E.J. Liddell","PF","26","$2,198,879","1.32%","","","","","Two-Way"
"7","Etienne                     Tyson Etienne","G","27","$2,198,879","1.32%","","","","","Two-Way"
"8","Johnson                     Chaney Johnson","F","24","$2,198,879","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $1,366,314"," "," "," "," "," "," "

