"Player (17 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Jefferson                   Al Jefferson","C","29","","$13,500,000","23.01%","$13,500,000","'-","'-","'-","$13,500,000"
"Henderson                   Gerald Henderson","SG","26","","$6,000,000","10.23%","$6,000,000","'-","'-","'-","'-"
"Kidd-Gilchrist                   Michael Kidd-Gilchrist","SF","20","RK-1ST","$4,809,840","8.20%","$4,809,840","'-","'-","'-","$4,809,840"
"Ridnour                   Luke Ridnour","PG","32","","$4,320,000","7.36%","$4,320,000","'-","'-","'-","'-"
"Zeller                   Cody Zeller","C","21","RK-1ST","$3,857,040","6.57%","$3,857,040","'-","'-","'-","$3,857,040"
"Neal                   Gary Neal","PG","29","","$3,250,000","5.54%","$3,250,000","'-","'-","'-","'-"
"Biyombo                   Bismack Biyombo","C","21","RK-1ST","$3,049,920","5.20%","$3,049,920","'-","'-","'-","$3,049,920"
"McRoberts                   Josh McRoberts","PF","26","","$2,652,000","4.52%","$2,652,000","'-","'-","'-","$2,652,000"
"Walker                   Kemba Walker","PG","23","RK-1ST","$2,568,360","4.38%","$2,568,360","'-","'-","'-","$2,568,360"
"Haywood                   Brendan Haywood","C","34","","$2,050,000","3.49%","$2,050,000","'-","'-","'-","'-"
"Tolliver                   Anthony Tolliver","PF","28","","$884,293","1.51%","$1,027,424","'-","'-","'-","'-"
"Pargo                   Jannero Pargo","PG","34","","$884,293","1.51%","$1,399,507","'-","'-","'-","'-"
"Taylor                   Jeff Taylor","SG","24","RK","$788,872","1.34%","$788,872","'-","'-","'-","'-"
"Douglas-Roberts                   Chris Douglas-Roberts","SG","27","","$708,142","1.21%","$708,142","'-","'-","'-","'-"
"Douglas-Roberts                   Chris Douglas-Roberts","SG","27","","$708,142","1.21%","$708,142","'-","'-","'-","'-"
"White                   D.J. White","PF","27","","$36,412","0.06%","$42,306","'-","'-","'-","'-"
"White                   D.J. White","PF","27","","$36,412","0.06%","$42,306","'-","'-","'-","'-"

