" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Gordon                     Eric Gordon","SG","25","$14,283,844","24.34%","$14,283,844","$14,283,844","$14,283,844","$14,283,844","2016"
"2","Evans                     Tyreke Evans","SG","24","$11,796,247","20.10%","$11,796,247","$11,796,247","$11,796,247","'-","2017"
"3","Holiday                     Jrue Holiday","PG","23","$9,713,484","16.55%","$9,713,484","$9,713,484","$9,713,484","$9,713,484","2028"
"4","Anderson                     Ryan Anderson","PF","25","$8,308,500","14.16%","$8,308,500","$8,308,500","$8,308,500","$8,308,500","2016"
"5","Davis                     Anthony Davis","PF","20","$5,375,760","9.16%","$5,375,760","$5,375,760","$5,375,760","$5,375,760","2028"
"6","Aminu                     Al-Farouq Aminu","SF","23","$3,749,602","6.39%","$3,749,602","$3,749,602","$3,749,602","$3,749,602","2014"
"7","Smith                     Jason Smith","PF","27","$2,500,000","4.26%","$2,500,000","$2,500,000","$2,500,000","$2,500,000","2014"
"8","Rivers                     Austin Rivers","SG","21","$2,339,040","3.99%","$2,339,040","$2,339,040","$2,339,040","$2,339,040","2015"
"9","Morrow                     Anthony Morrow","SG","28","$1,027,424","1.75%","$1,027,424","$1,027,424","$1,027,424","'-","2014"
"10","Miller                     Darius Miller","SF","23","$788,872","1.34%","$788,872","$788,872","$788,872","$788,872","2014"
"11","Roberts                     Brian Roberts","PG","28","$788,872","1.34%","$788,872","$788,872","$788,872","'-","2014"
"12","Ajinca                     Alexis Ajinca","C","25","$635,880","1.08%","$635,880","$635,880","$635,880","$635,880","2015"
"13","Withey                     Jeff Withey","C","23","$490,180","0.84%","$490,180","$490,180","$490,180","'-","2015"
"14","Babbitt                     Luke Babbitt","SF","24","$387,995","0.66%","$387,995","$387,995","$387,995","'-","2015"
"15","Ely                     Melvin Ely","C","35","$29,788","0.05%","$29,788","$29,788","$29,788","'-","2015"
"16","Southerland                     James Southerland","SF","23","$20,184","0.03%","$20,184","$20,184","$20,184","'-","2014"

