" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Andersen                     Chris Andersen","PF","38","$980,431","1.04%","$980,431","$980,431","$538,517","'-"
"2","Harrison                     Aaron Harrison","SG","22","$375,579","0.40%","$375,579","$375,579","$375,579","'-"
"3","Tobey                     Mike Tobey","C","22","$75,000","0.08%","$75,000","$75,000","$75,000","'-"
"4","McCallum                     Ray McCallum","PG","25","$57,672","0.06%","$57,672","$57,672","$59,747","$59,747"
"5","McCallum                     Ray McCallum","PG","25","$57,672","0.06%","$57,672","$57,672","$59,747","$59,747"
"6","O'Bryant                     Johnny O'Bryant","PF","23","$57,672","0.06%","$57,672","$57,672","$57,672","$57,672"
"7","O'Bryant                     Johnny O'Bryant","PF","23","$57,672","0.06%","$57,672","$57,672","$57,672","$57,672"
"8","Weber                     Briante Weber","PG","24","$57,672","0.06%","$57,672","$57,672","$51,449","$51,449"
"9","Weber                     Briante Weber","PG","24","$51,449","0.05%","$51,449","$57,672","$51,449","$51,449"
"10","Tobey                     Mike Tobey","C","22","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"11","Tobey                     Mike Tobey","C","22","$31,969","0.03%","$31,969","$31,969","$31,969","$31,969"

