" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Miller                     Brandon Miller","SF","25","$37,761,565","21.66%","","","","",""
"2","Bridges                     Miles Bridges","SF","29","$34,239,131","19.64%","","","","","Bird"
"3","Green                     Josh Green","SG","27","$22,018,518","12.63%","","","","","Bird"
"4","Williams                     Grant Williams","PF","29","$21,398,625","12.28%","","","","","Bird"
"5","Gibson                     Taj Gibson","C","42","$2,588,091","1.48%","","","","","Non-Bird"
"6","Connaughton                     Pat Connaughton","SG","35","$2,588,091","1.48%","","","","","Early Bird"
"7","Evbuomwan                     Tosan Evbuomwan","SG","26","$2,308,823","1.32%","","","","","Two-Way"
"8","Hall                     P.J. Hall","PF","25","$2,308,823","1.32%","","","","","Two-Way"
"9","Diabate                     Moussa Diabate","PF","26","$2,296,274","1.32%","","","","","Bird"
"Incomplete Roster Charge","","","","                                                   $7,173,150"," "," "," "," "," "," "

