" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Rose                     Derrick Rose","PG","24","$16,402,500","28.26%","$16,402,500","$16,402,500","$16,402,500","'-","2017"
"2","Boozer                     Carlos Boozer","PF","31","$15,000,000","25.84%","$15,000,000","$15,000,000","$15,000,000","'-","2014"
"3","Deng                     Luol Deng","SF","27","$13,305,000","22.92%","$13,305,000","$13,305,000","$13,305,000","$13,305,000","2014"
"4","Noah                     Joakim Noah","C","27","$11,300,000","19.47%","$11,300,000","$11,300,000","$11,300,000","$11,300,000","2016"
"5","Hamilton                     Richard Hamilton","SG","34","$5,000,000","8.61%","$5,000,000","$5,000,000","$5,000,000","'-","2013"
"6","Hinrich                     Kirk Hinrich","SG","32","$3,941,000","6.79%","$3,941,000","$3,941,000","$3,941,000","'-","2014"
"7","Gibson                     Taj Gibson","PF","27","$2,155,811","3.71%","$2,155,811","$2,155,811","$2,155,811","$2,155,811",""
"8","Belinelli                     Marco Belinelli","SG","26","$1,957,000","3.37%","$1,957,000","$1,957,000","$1,957,000","$1,957,000","2013"
"9","Butler                     Jimmy Butler","SG","23","$1,066,920","1.84%","$1,066,920","$1,066,920","$1,066,920","$1,066,920","2027"
"10","Teague                     Marquis Teague","PG","19","$857,000","1.48%","$857,000","$857,000","$857,000","'-","2014"
"11","Mohammed                     Nazr Mohammed","C","35","$854,389","1.47%","$854,389","$854,389","$1,352,181","'-","2013"
"12","Radmanovic                     Vladimir Radmanovic","SF","32","$854,389","1.47%","$854,389","$854,389","'-","'-","2013"
"13","Robinson                     Nate Robinson","PG","28","$854,389","1.47%","$854,389","$854,389","$1,146,337","'-","2013"
"14","Cook                     Daequan Cook","SG","25","$512,633","0.88%","$512,633","$512,633","$595,608","'-","2013"
"15","Thomas                     Malcolm Thomas","PF","24","$44,835","0.08%","$44,835","$44,835","$44,835","'-","2013"

