" ","Player (12)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Wade                     Dwyane Wade","SG","36","$15,550,000","15.69%","$15,550,000","$15,550,000","$15,550,000","'-"
"2","Pondexter                     Quincy Pondexter","SG","29","$3,853,931","3.89%","$3,853,931","$3,853,931","$3,853,931","'-"
"3","Rondo                     Rajon Rondo","PG","31","$3,000,000","3.03%","$3,000,000","$3,000,000","$3,000,000","'-"
"4","Allen                     Tony Allen","SG","36","$1,471,382","1.48%","$1,471,382","$1,471,382","$907,780","'-"
"5","Reed                     Willie Reed","C","27","$1,471,382","1.48%","$1,471,382","$1,471,382","$579,209","'-"
"6","Felder                     Kay Felder","PG","22","$489,448","0.49%","$489,448","$489,448","$489,448","'-"
"7","Canaan                     Isaiah Canaan","PG","26","$200,000","0.20%","$200,000","$200,000","$200,000","'-"
"8","Eddie                     Jarell Eddie","SF","26","$83,129","0.08%","$83,129","$83,129","$86,119","$86,119"
"9","Stone                     Diamond Stone","C","20","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"10","Fair                     C.J. Fair","SF","26","$46,080","0.05%","$46,080","$46,080","$46,080","'-"
"11","Johnson                     Jaylen Johnson","PF","21","$46,080","0.05%","$46,080","$46,080","$46,080","$46,080"
"12","Eddie                     Jarell Eddie","SF","26","$17,224","0.02%","$17,224","$17,224","$17,224","'-"

