"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Giddey                   Josh Giddey","SG","24","FA","$25,000,000","15.06%","$25,000,000","'-","'-","'-","$25,000,000"
"Williams                   Patrick Williams","PF","25","FA","$18,000,000","10.84%","$18,000,000","'-","'-","'-","$18,000,000"
"Okoro                   Isaac Okoro","SG","26","FA","$11,814,814","7.12%","$11,814,814","'-","$1,772,221","'-","$11,814,814"
"Smith                   Jalen Smith","PF","26","FA","$9,428,571","5.68%","$9,428,571","'-","'-","'-","$9,428,571"
"Jones                   Tre Jones","PG","27","FA","$8,000,000","4.82%","$8,000,000","'-","'-","'-","$8,000,000"
"Dillingham                   Rob Dillingham","PG","22","RK-1ST","$6,889,320","4.15%","$6,889,320","'-","'-","'-","$6,889,320"
"Buzelis                   Matas Buzelis","SF","22","RK-1ST","$5,715,360","3.44%","$5,715,360","'-","'-","'-","$5,715,360"
"Essengue                   Noa Essengue","PF","20","RK-1ST","$5,701,200","3.43%","$5,701,200","'-","'-","'-","$5,701,200"
"Miller                   Leonard Miller","SF","23","RK-2ND","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"

