"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Simons                   Anfernee Simons","SG","27","FA","$41,517,857","25.01%","'-","","","Bird",""
"Ivey                   Jaden Ivey","SG","24","RK-1ST","$30,321,489","18.27%","$13,402,098","","","Restricted Bird",""
"Sexton                   Collin Sexton","PG","28","S&T","$28,462,500","17.15%","'-","","","Bird",""
"Collins                   Zach Collins","C","29","VET-EXT","$27,120,744","16.34%","'-","","","Bird",""
"Richards                   Nick Richards","C","29","VET-EXT","$9,500,000","5.72%","'-","","","Bird",""
"Yabusele                   Guerschon Yabusele","PF","31","FA","$6,600,000","3.98%","'-","","","Non-Bird",""
"Thomas                   Matt Thomas","SG","32","","$2,464,849","1.48%","'-","","","Non-Bird",""
"Horton-Tucker                   Talen Horton-Tucker","SG","26","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Olbrich                   Lachlan Olbrich","C","23","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"McClung                   Mac McClung","PG","28","2W","$2,198,879","1.32%","$2,198,879","","","",""
"Kawamura                   Yuki Kawamura","G","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $4,098,942"," "," "," "," "," "," "

