" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Pangos                     Kevin Pangos","PG","29","$1,669,178","1.48%","$1,669,178","$1,669,178","$1,669,178","'-"
"2","Smith                     J.R. Smith","SG","36","$1,456,666","1.30%","$1,456,666","$1,456,666","$1,456,666","'-"
"3","Frazier                     Tim Frazier","PG","31","$95,930","0.09%","$95,930","$95,930","$128,709","$128,709"
"4","Brown                     Moses Brown","C","22","$95,930","0.09%","$95,930","$95,930","$95,930","$95,930"
"5","Brown                     Moses Brown","C","22","$95,930","0.09%","$95,930","$95,930","$95,930","$95,930"
"6","Nembhard                     R.J. Nembhard","PG","22","$58,493","0.05%","$58,493","$58,493","$58,493","'-"
"7","Anderson                     Justin Anderson","SG","28","'-","'-","'-","'-","$111,457","$111,457"
"8","Kornet                     Luke Kornet","C","26","'-","'-","'-","'-","$102,831","$102,831"
"9","Goodwin                     Brandon Goodwin","PG","26","'-","'-","'-","'-","$99,380","$99,380"
"10","Newman                     Malik Newman","G","24","'-","'-","'-","'-","$85,578","$85,578"
"11","Scott                     Trevon Scott","SF","25","'-","'-","'-","'-","$53,176","$53,176"

