"Player (11 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Mobley                   Evan Mobley","PF","25","DRK-EXT","$50,105,628","30.18%","$50,105,628","'-","'-","'-","$50,105,628"
"Mitchell                   Donovan Mitchell","SG","30","VET-EXT","$50,105,628","30.18%","$50,105,628","'-","'-","'-","$50,105,628"
"Harden                   James Harden","SG","37","FA","$42,317,307","25.49%","$42,317,307","'-","'-","'-","$13,317,307"
"Allen                   Jarrett Allen","C","28","VET-EXT","$28,000,000","16.87%","$28,000,000","'-","'-","'-","$28,000,000"
"Strus                   Max Strus","SG","30","S&T","$16,660,836","10.04%","$16,660,836","'-","'-","'-","$16,660,836"
"Schröder                   Dennis Schröder","PG","33","FA","$14,809,200","8.92%","$14,809,200","'-","'-","'-","$14,809,200"
"Merrill                   Sam Merrill","SG","30","FA","$9,160,715","5.52%","$9,160,715","'-","'-","'-","$9,160,715"
"Tyson                   Jaylon Tyson","SG","24","RK-1ST","$3,658,560","2.20%","$3,658,560","'-","'-","'-","$3,658,560"
"Tomlin                   Nae'qwan Tomlin","F","26","ROS","$2,411,090","1.45%","$2,411,090","'-","'-","'-","$2,411,090"
"Porter Jr.                   Craig Porter Jr.","G","26","ROS","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"
"Proctor                   Tyrese Proctor","SG","22","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

