"Player (12)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Wade                   Dean Wade","PF","30","VET-EXT","$12,584,566","7.58%","'-","","","Bird",""
"Thompson                   Tristan Thompson","C","35","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Rondo                   Rajon Rondo","PG","40","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Okeke                   Chuma Okeke","PF","28","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Neto                   Raul Neto","PG","34","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Nance Jr.                   Larry Nance Jr.","PF","34","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Jones                   Damian Jones","C","31","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Ellis                   Keon Ellis","SF","27","ROS","$2,464,849","1.48%","'-","","","Bird",""
"Davis                   Ed Davis","C","37","","$2,464,849","1.48%","'-","","","Non-Bird",""
"Bryant                   Thomas Bryant","C","29","FA","$2,464,849","1.48%","'-","","","",""
"Minix                   Riley Minix","SF","26","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Miller                   Emanuel Miller","SF","26","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $1,366,314"," "," "," "," "," "," "

