" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Mitchell                     Donovan Mitchell","SG","32","$72,042,250","39.36%","","","","","Bird"
"2","Garland                     Darius Garland","PG","29","$53,864,316","29.43%","","","","","Bird"
"3","Tyson                     Jaylon Tyson","SG","26","$16,924,500","9.25%","","","","","Restricted Bird"
"4","Rondo                     Rajon Rondo","PG","42","$2,717,496","1.48%","","","","","Non-Bird"
"5","Davis                     Ed Davis","C","39","$2,717,496","1.48%","","","","","Non-Bird"
"6","Thompson                     Tristan Thompson","C","37","$2,717,496","1.48%","","","","","Early Bird"
"7","Neto                     Raul Neto","PG","36","$2,717,496","1.48%","","","","","Non-Bird"
"8","Jones                     Damian Jones","C","33","$2,717,496","1.48%","","","","","Early Bird"
"9","Okeke                     Chuma Okeke","PF","30","$2,717,496","1.48%","","","","","Non-Bird"
"Incomplete Roster Charge","","","","                                                   $12,050,896"," "," "," "," "," "," "

