" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Chandler                     Tyson Chandler","C","32","$14,846,887","23.54%","$14,846,887","$14,846,887","$14,846,887","$14,596,887","2015"
"2","Parsons                     Chandler Parsons","SF","26","$14,700,000","23.31%","$14,700,000","$14,700,000","$14,700,000","$14,700,000","2017"
"3","Rondo                     Rajon Rondo","PG","28","$12,909,090","20.47%","$12,909,090","$12,909,090","$12,909,090","$12,909,090","2015"
"4","Ellis                     Monta Ellis","SG","29","$8,360,000","13.26%","$8,360,000","$8,360,000","$8,360,000","'-","2016"
"5","Nowitzki                     Dirk Nowitzki","PF","36","$7,974,482","12.64%","$7,974,482","$7,974,482","$7,974,482","$7,974,482","2017"
"6","Harris                     Devin Harris","PG","31","$3,878,896","6.15%","$3,878,896","$3,878,896","$3,878,896","$3,878,896","2018"
"7","Felton                     Raymond Felton","PG","30","$3,793,693","6.02%","$3,793,693","$3,793,693","$3,793,693","'-","2016"
"8","Aminu                     Al-Farouq Aminu","SF","24","$981,084","1.56%","$981,084","$981,084","$981,084","$981,084","2015"
"9","Smith                     Greg Smith","C","24","$948,163","1.50%","$948,163","$948,163","$948,163","'-","2015"
"10","Jefferson                     Richard Jefferson","SF","34","$915,243","1.45%","$915,243","$915,243","$1,448,490","$1,448,490","2015"
"11","Villanueva                     Charlie Villanueva","PF","30","$915,243","1.45%","$915,243","$915,243","$1,316,809","'-","2015"
"12","Barea                     Jose Barea","PG","30","$909,859","1.44%","$909,859","$909,859","$1,302,578","$1,302,578","2015"
"13","Powell                     Dwight Powell","PF","23","$507,336","0.80%","$507,336","$507,336","$507,336","$507,336","2026"
"14","Stoudemire                     Amar'e Stoudemire","PF","32","$306,876","0.49%","$306,876","$306,876","$485,670","'-","2015"
"15","James                     Bernard James","C","29","$236,886","0.38%","$236,886","$236,886","$236,886","'-","2015"
"16","Haywood                     Brendan Haywood","C","35","'-","'-","'-","'-","$7,748,000","'-",""

