" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Williams                     Deron Williams","PG","32","$9,000,000","9.56%","$9,000,000","$9,000,000","$9,000,000","'-"
"2","Acy                     Quincy Acy","PF","26","$1,050,961","1.12%","$1,050,961","$1,050,961","$1,050,961","'-"
"3","Gibson                     Jonathan Gibson","PG","29","$543,471","0.58%","$543,471","$543,471","$543,471","'-"
"4","N'dour                     Maurice N'dour","PF","24","$437,318","0.46%","$437,318","$437,318","$437,318","'-"
"5","Mekel                     Gal Mekel","PG","28","$315,759","0.34%","$315,759","$315,759","$315,759","'-"
"6","Gibson                     Jonathan Gibson","PG","29","$137,466","0.15%","$137,466","$137,466","$137,466","'-"
"7","Collinsworth                     Kyle Collinsworth","PG","25","$70,000","0.07%","$70,000","$70,000","$70,000","'-"
"8","Harris                     Manny Harris","SG","27","$57,672","0.06%","$57,672","$57,672","$57,672","$57,672"
"9","Harris                     Manny Harris","SG","27","$57,672","0.06%","$57,672","$57,672","$57,672","$57,672"
"10","Jackson                     Pierre Jackson","PG","25","$41,560","0.04%","$41,560","$41,560","$41,560","'-"
"11","Jackson                     Pierre Jackson","PG","25","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"12","Jackson                     Pierre Jackson","PG","25","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"13","Cook                     Quinn Cook","PG","23","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"14","Bentil                     Ben Bentil","PF","21","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"15","Ferrell                     Yogi Ferrell","PG","23","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"16","Uthoff                     Jarrod Uthoff","PF","23","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"17","Uthoff                     Jarrod Uthoff","PF","23","$31,969","0.03%","$31,969","$57,672","$31,969","$31,969"
"18","Warney                     Jameel Warney","PF","23","$20,000","0.02%","$20,000","$20,000","$20,000","'-"

