"Player (10 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Irving                   Kyrie Irving","PG","34","FA","$39,491,282","23.79%","$39,491,282","'-","'-","'-","$39,491,282"
"Washington                   PJ Washington","PF","28","VET-EXT","$19,813,044","11.94%","$19,813,044","'-","'-","'-","$19,813,044"
"Thompson                   Klay Thompson","SG","36","S&T","$17,460,317","10.52%","$17,460,317","'-","'-","'-","$17,460,317"
"Gafford                   Daniel Gafford","C","28","VET-EXT","$17,263,584","10.40%","$17,263,584","'-","'-","'-","$17,263,584"
"Flagg                   Cooper Flagg","SF","20","RK-1ST","$14,517,480","8.75%","$14,517,480","'-","'-","'-","$14,517,480"
"Martin                   Caleb Martin","SF","31","FA","$10,001,494","6.03%","$8,963,901","'-","$1,344,585","'-","$8,963,901"
"Marshall                   Naji Marshall","SF","29","FA","$9,428,571","5.68%","$9,428,571","'-","'-","'-","$9,428,571"
"Christie                   Max Christie","SG","23","FA","$8,285,714","4.99%","$8,285,714","'-","'-","'-","$8,285,714"
"Lively II                   Dereck Lively II","C","22","RK-1ST","$7,239,131","4.36%","$7,239,131","'-","'-","'-","$7,239,131"
"Johnson                   AJ Johnson","PG","22","RK-1ST","$3,237,120","1.95%","$3,237,120","'-","'-","'-","$3,237,120"

