"Player (10)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Thompson                   Klay Thompson","SG","37","S&T","$26,190,476","15.03%","'-","","","Bird",""
"Lively II                   Dereck Lively II","C","23","RK-1ST","$21,717,393","12.46%","$10,684,958","","","",""
"Marshall                   Naji Marshall","SF","30","FA","$17,914,285","10.28%","'-","","","Bird",""
"Russell                   D'Angelo Russell","PG","31","FA","$7,760,025","4.45%","'-","","","Early Bird",""
"Melli                   Nicolo Melli","PF","37","FA","$5,066,667","2.91%","'-","","","Early Bird",""
"Pinson                   Theo Pinson","SG","32","FA","$2,588,091","1.48%","'-","","","Early Bird",""
"Jones                   Kai Jones","PF","27","2W","$2,588,091","1.48%","'-","","","Two-Way",""
"Wright IV                   McKinley Wright IV","PG","29","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Wright                   Moses Wright","F","29","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Brown III                   Greg Brown III","PF","26","2W","$2,308,823","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $5,738,520"," "," "," "," "," "," "

