" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Davis                     Anthony Davis","C","35","$66,892,000","36.55%","","","","","Bird"
"2","Irving                     Kyrie Irving","PG","36","$63,624,843","34.76%","","","","","Bird"
"3","Martin                     Caleb Martin","SF","33","$20,476,403","11.19%","","","","","Bird"
"4","Christie                     Max Christie","SG","25","$16,828,572","9.20%","","","","","Bird"
"5","Hardy                     Jaden Hardy","SG","26","$11,400,000","6.23%","","","","","Bird"
"6","Melli                     Nicolo Melli","PF","38","$5,066,667","2.77%","","","","","Early Bird"
"7","Pinson                     Theo Pinson","SG","33","$2,717,496","1.48%","","","","","Early Bird"
"8","Jones                     Kai Jones","PF","28","$2,717,496","1.48%","","","","","Two-Way"
"9","Brown III                     Greg Brown III","PF","27","$2,424,264","1.32%","","","","","Two-Way"
"10","Wright IV                     McKinley Wright IV","PG","30","$2,424,264","1.32%","","","","","Two-Way"
"11","Wright                     Moses Wright","F","30","$2,424,264","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $13,557,258"," "," "," "," "," "," "

