" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Miller                     Andre Miller","PG","35","$7,807,728","13.45%","$7,807,728","$7,807,728","$6,284,269","'-","2012"
"2","Afflalo                     Arron Afflalo","SG","26","$7,750,000","13.35%","$7,750,000","$7,750,000","$6,323,171","'-","2015"
"3","Harrington                     Al Harrington","PF","31","$6,226,200","10.73%","$6,226,200","$6,226,200","$5,011,332","'-","2013"
"4","Chandler                     Wilson Chandler","SF","24","$5,516,664","9.50%","$5,516,664","$5,516,664","$4,440,242","$4,440,242","2016"
"5","Andersen                     Chris Andersen","PF","33","$4,234,000","7.29%","$4,234,000","$4,234,000","$3,407,854","'-","2012"
"6","Gallinari                     Danilo Gallinari","SF","23","$4,190,182","7.22%","$4,190,182","$4,190,182","$3,372,586","'-",""
"7","Mozgov                     Timofey Mozgov","C","25","$3,343,896","5.76%","$3,343,896","$3,343,896","$2,691,428","$2,691,428","2013"
"8","Brewer                     Corey Brewer","SG","25","$3,059,000","5.27%","$3,059,000","$3,059,000","$2,462,122","$2,462,122","2013"
"9","McGee                     JaVale McGee","C","24","$2,462,399","4.24%","$2,462,399","$2,462,399","$1,981,931","'-","2012"
"10","Koufos                     Kosta Koufos","C","22","$2,203,792","3.80%","$2,203,792","$2,203,792","$1,773,784","$1,773,784",""
"11","Lawson                     Ty Lawson","PG","24","$1,654,440","2.85%","$1,654,440","$1,654,440","$1,331,622","'-",""
"12","Faried                     Kenneth Faried","PF","22","$1,254,720","2.16%","$1,254,720","$1,254,720","$1,009,897","$1,009,897",""
"13","Cook                     Brian Cook","PF","31","$1,223,166","2.11%","$1,223,166","$1,223,166","$984,499","'-","2012"
"14","Hamilton                     Jordan Hamilton","SF","21","$1,073,280","1.85%","$1,073,280","$1,073,280","$863,860","'-","2015"
"15","Stone                     Julyan Stone","PG","23","$473,604","0.82%","$473,604","$473,604","$381,193","'-","2013"

