" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Williams                     Mo Williams","PG","34","$2,194,500","2.33%","$2,194,500","$2,194,500","$1,032,706","'-"
"2","Johnson                     Nick Johnson","SG","24","$980,431","1.04%","$980,431","$980,431","$980,431","'-"
"3","Gee                     Alonzo Gee","SF","29","$417,848","0.44%","$417,848","$417,848","$417,848","'-"
"4","Hummel                     Robbie Hummel","SF","27","$150,000","0.16%","$150,000","$150,000","$150,000","'-"
"5","Stokes                     Jarnell Stokes","PF","23","$150,000","0.16%","$150,000","$150,000","$150,000","'-"
"6","Gee                     Alonzo Gee","SF","29","$57,672","0.06%","$57,672","$57,672","$77,379","'-"
"7","O'Bryant                     Johnny O'Bryant","PF","23","$57,672","0.06%","$57,672","$57,672","$57,672","$57,672"
"8","O'Bryant                     Johnny O'Bryant","PF","23","$57,672","0.06%","$57,672","$57,672","$57,672","$57,672"
"9","Kennedy                     D.J. Kennedy","SG","27","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"10","Wolters                     Nate Wolters","PG","25","$50,000","0.05%","$50,000","$50,000","$50,000","'-"

