"Player (10 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Jokic                   Nikola Jokic","C","31","DVET-EXT","$59,033,114","35.56%","$59,033,114","'-","'-","'-","$59,033,114"
"Murray                   Jamal Murray","PG","29","VET-EXT","$50,105,628","30.18%","$50,105,628","'-","'-","'-","$50,105,628"
"Gordon                   Aaron Gordon","PF","31","VET-EXT","$31,978,037","19.26%","$31,978,037","'-","$1,680,000","'-","$31,978,037"
"Johnson                   Cameron Johnson","SF","30","FA","$23,062,500","13.89%","$22,500,000","$562,500","$3,937,500","'-","$22,500,000"
"Braun                   Christian Braun","SG","25","RK-EXT","$21,551,726","12.98%","$21,551,726","'-","'-","'-","$21,551,726"
"Valanciunas                   Jonas Valanciunas","C","34","S&T","$10,000,000","6.02%","$10,000,000","'-","'-","'-","'-"
"Nnaji                   Zeke Nnaji","PF","26","RK-EXT","$7,466,667","4.50%","$7,466,667","'-","'-","'-","$7,466,667"
"Strawther                   Julian Strawther","SF","24","RK-1ST","$4,826,931","2.91%","$4,826,931","'-","'-","'-","$4,826,931"
"Holmes II                   DaRon Holmes II","PF","24","RK-1ST","$3,372,120","2.03%","$3,372,120","'-","'-","'-","$3,372,120"
"Pickett                   Jalen Pickett","PG","27","RK-2ND","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"

