" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Johnson                     Cameron Johnson","SF","31","$34,593,750","19.85%","","","","","Bird"
"2","Valanciunas                     Jonas Valanciunas","C","35","$19,000,000","10.90%","","","","","Bird"
"3","Strawther                     Julian Strawther","SF","25","$14,480,793","8.31%","","","","","Restricted Bird"
"4","Pickett                     Jalen Pickett","PG","28","$2,957,063","1.70%","","","","","Bird"
"5","Jefferson                     Richard Jefferson","SF","47","$2,588,091","1.48%","","","","","Non-Bird"
"6","Cousins                     DeMarcus Cousins","C","37","$2,588,091","1.48%","","","","","Non-Bird"
"7","Holiday                     Justin Holiday","SG","38","$2,588,091","1.48%","","","","","Non-Bird"
"8","Daniels                     Troy Daniels","SG","36","$2,588,091","1.48%","","","","","Non-Bird"
"9","Cancar                     Vlatko Cancar","PF","30","$2,588,091","1.48%","","","","","Bird"
"10","Cancar                     Vlatko Cancar","PF","30","$2,588,091","1.48%","","","","","Bird"
"11","Howard                     Markus Howard","PG","28","$2,308,823","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $8,607,780"," "," "," "," "," "," "

