"Player (9)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Murray                   Jamal Murray","PG","32","VET-EXT","$79,246,650","41.24%","'-","","","Bird",""
"Gordon                   Aaron Gordon","PF","34","VET-EXT","$55,641,785","28.96%","'-","","","Bird",""
"Jefferson                   Richard Jefferson","SF","49","","$2,853,371","1.48%","'-","","","Non-Bird",""
"Holiday                   Justin Holiday","SG","40","FA","$2,853,371","1.48%","'-","","","Non-Bird",""
"Daniels                   Troy Daniels","SG","38","ROS","$2,853,371","1.48%","'-","","","Non-Bird",""
"Cousins                   DeMarcus Cousins","C","39","ROS","$2,853,371","1.48%","'-","","","Non-Bird",""
"Cancar                   Vlatko Cancar","PF","32","FA","$2,853,371","1.48%","'-","","","Bird",""
"Cancar                   Vlatko Cancar","PF","32","FA","$2,844,292","1.48%","'-","","","Bird",""
"Howard                   Markus Howard","PG","30","2W","$2,545,477","1.32%","'-","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $17,398,480"," "," "," "," "," "," "

