" ","Player (19)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Griffin                     Blake Griffin","PF","29","$32,088,932","31.50%","$32,088,932","$32,088,932","$31,873,932","$31,873,932","2022"
"2","Drummond                     Andre Drummond","C","25","$25,434,263","24.97%","$25,434,263","$25,434,263","$25,434,263","$25,434,263","2021"
"3","Jackson                     Reggie Jackson","PG","28","$17,043,478","16.73%","$17,043,478","$17,043,478","$17,043,478","$17,043,478","2020"
"4","Leuer                     Jon Leuer","PF","29","$10,002,681","9.82%","$10,002,681","$10,002,681","$10,002,681","$10,002,681","2020"
"5","Galloway                     Langston Galloway","SG","27","$7,000,000","6.87%","$7,000,000","$7,000,000","$7,000,000","$7,000,000","2020"
"6","Smith                     Ishmael Smith","PG","30","$6,000,000","5.89%","$6,000,000","$6,000,000","$6,000,000","$6,000,000","2019"
"7","Robinson III                     Glenn Robinson III","SG","25","$4,075,000","4.00%","$4,075,000","$4,075,000","$4,075,000","$4,075,000","2020"
"8","Kennard                     Luke Kennard","SG","22","$3,275,280","3.22%","$3,275,280","$3,275,280","$3,275,280","$3,275,280","2026"
"9","Maker                     Thon Maker","C","21","$2,799,720","2.75%","$2,799,720","$2,799,720","$1,012,328","$2,799,720","2020"
"10","Ellington                     Wayne Ellington","SG","31","$2,383,076","2.34%","$2,383,076","$2,383,076","$2,383,076","$2,383,076","2019"
"11","Pachulia                     Zaza Pachulia","C","34","$1,512,601","1.48%","$1,512,601","$1,512,601","$2,393,887","$2,393,887","2019"
"12","Calderon                     Jose Calderon","PG","37","$1,512,601","1.48%","$1,512,601","$1,512,601","$2,393,887","$2,393,887","2019"
"13","Mykhailiuk                     Sviatoslav Mykhailiuk","SF","21","$1,487,694","1.46%","$1,487,694","$1,487,694","$537,923","$1,487,694","2021"
"14","Thomas                     Khyri Thomas","SG","22","$838,464","0.82%","$838,464","$838,464","$838,464","$838,464","2021"
"15","Brown Jr.                     Bruce Brown Jr.","SG","22","$838,464","0.82%","$838,464","$838,464","$838,464","$838,464","2021"
"16","Lucas                     Kalin Lucas","PG","29","Two-Way","'-","'-","'-","'-","'-","2019"
"17","Whitehead                     Isaiah Whitehead","PG","23","Two-Way","'-","'-","'-","'-","'-","2020"
"18","Evans                     Keenan Evans","SG","22","Two-Way","'-","'-","'-","'-","'-","2019"
"19","Lofton                     Zach Lofton","G","26","Two-Way","'-","'-","'-","'-","'-","2019"

