" ","Player (13)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Harris                     Joe Harris","SG","32","$19,928,571","14.65%","$19,928,571","$19,928,571","$19,928,571","'-"
"2","Hayes                     Killian Hayes","PG","22","$7,413,955","5.45%","$7,413,955","$7,413,955","$7,413,955","'-"
"3","Gallinari                     Danilo Gallinari","PF","35","$6,802,950","5.00%","$6,802,950","$6,802,950","$3,596,962","'-"
"4","Milton                     Shake Milton","SG","27","$5,000,000","3.68%","$5,000,000","$5,000,000","$1,925,287","'-"
"5","House Jr.                     Danuel House Jr.","SF","30","$4,310,250","3.17%","$4,310,250","$4,310,250","$1,634,922","'-"
"6","Muscala                     Mike Muscala","C","32","$3,500,000","2.57%","$3,500,000","$3,500,000","$1,850,575","'-"
"7","Dedmon                     Dewayne Dedmon","C","34","$2,748,674","2.02%","$2,748,674","$2,748,674","$2,748,674","'-"
"8","Arcidiacono                     Ryan Arcidiacono","PG","29","$2,019,706","1.48%","$2,019,706","$2,019,706","$958,985","'-"
"9","Gibson                     Taj Gibson","C","38","$116,075","0.09%","$116,075","$116,075","$183,704","$183,704"
"10","Metu                     Chimezie Metu","C","26","$116,075","0.09%","$116,075","$116,075","$134,863","$134,863"
"11","Nowell                     Jaylen Nowell","SG","24","$116,075","0.09%","$116,075","$116,075","$124,425","$124,425"
"12","Evbuomwan                     Tosan Evbuomwan","SG","22","$70,777","0.05%","$70,777","$127,683","$70,777","$70,777"
"13","Nowell                     Jaylen Nowell","SG","24","$24,885","0.02%","$24,885","$24,885","$24,885","$24,885"

