"Player (11 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Cunningham                   Cade Cunningham","PG","25","DRK-EXT","$50,105,628","30.18%","$50,105,628","'-","'-","'-","$50,105,628"
"Robinson                   Duncan Robinson","SF","32","S&T","$15,992,957","9.63%","$15,992,957","'-","'-","'-","$2,000,000"
"Stewart                   Isaiah Stewart","C","25","RK-EXT","$15,000,000","9.04%","$15,000,000","'-","$1,000,000","'-","$15,000,000"
"LeVert                   Caris LeVert","SG","32","FA","$14,809,200","8.92%","$14,809,200","'-","'-","'-","$14,809,200"
"Thompson                   Ausar Thompson","SG","24","RK-1ST","$11,117,925","6.70%","$11,117,925","'-","'-","'-","$11,117,925"
"Holland II                   Ron Holland II","SF","21","RK-1ST","$9,069,600","5.46%","$9,069,600","'-","'-","'-","$9,069,600"
"Reed                   Paul Reed","C","27","FA","$5,602,689","3.38%","$5,602,689","'-","'-","'-","'-"
"Sasser                   Marcus Sasser","PG","26","RK-1ST","$5,198,983","3.13%","$5,198,983","'-","'-","'-","$5,198,983"
"Jenkins                   Daniss Jenkins","G","25","ROS","$4,000,000","2.41%","$4,000,000","'-","'-","'-","'-"
"Klintman                   Bobi Klintman","SF","23","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"
"Lanier                   Chaz Lanier","SG","25","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

