" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Harris                     Tobias Harris","PF","34","$39,951,219","24.07%","","","","","Early Bird"
"2","Ivey                     Jaden Ivey","SG","24","$30,321,489","18.27%","","","","","Restricted Bird"
"3","Duren                     Jalen Duren","C","23","$19,449,432","11.72%","","","","","Restricted Bird"
"4","Beasley                     Malik Beasley","SG","30","$7,200,000","4.34%","","","","","Non-Bird"
"5","Jones                     Isaac Jones","C","26","$2,664,849","1.61%","","","","","Restricted Non-Bird"
"6","Green                     Javonte Green","SG","33","$2,464,849","1.48%","","","","","Non-Bird"
"7","Moore Jr.                     Wendell Moore Jr.","SG","25","$2,198,879","1.32%","","","","",""
"8","Jenkins                     Daniss Jenkins","G","25","$2,198,879","1.32%","","","","","Two-Way"
"9","Smith III                     Tolu Smith III","F","26","$2,198,879","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $2,732,628"," "," "," "," "," "," "

