" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Bogut                     Andrew Bogut","C","29","$14,000,000","23.86%","$14,000,000","$14,000,000","$14,000,000","'-",""
"2","Lee                     David Lee","PF","30","$13,878,000","23.65%","$13,878,000","$13,878,000","$13,878,000","'-","2016"
"3","Iguodala                     Andre Iguodala","SF","30","$12,868,632","21.93%","$12,868,632","$12,868,632","$12,868,632","'-","2017"
"4","Curry                     Stephen Curry","PG","25","$9,887,642","16.85%","$9,887,642","$9,887,642","$9,887,642","'-","2027"
"5","Blake                     Steve Blake","PG","33","$4,000,000","6.82%","$4,000,000","$4,000,000","$4,000,000","'-","2014"
"6","Speights                     Marreese Speights","PF","26","$3,500,000","5.96%","$3,500,000","$3,500,000","$3,500,000","'-","2016"
"7","Barnes                     Harrison Barnes","SF","21","$2,923,920","4.98%","$2,923,920","$2,923,920","$2,923,920","$2,923,920","2026"
"8","Thompson                     Klay Thompson","SG","23","$2,317,920","3.95%","$2,317,920","$2,317,920","$2,317,920","$2,317,920","2027"
"9","Crawford                     Jordan Crawford","SG","25","$2,162,418","3.69%","$2,162,418","$2,162,418","$2,162,418","$2,162,418","2014"
"10","O'Neal                     Jermaine O'Neal","C","35","$2,000,000","3.41%","$2,000,000","$2,000,000","$2,000,000","'-","2014"
"11","Ezeli                     Festus Ezeli","C","24","$1,066,920","1.82%","$1,066,920","$1,066,920","$1,066,920","'-","2016"
"12","Nedovic                     Nemanja Nedovic","PG","22","$1,056,720","1.80%","$1,056,720","$1,056,720","$1,056,720","'-","2014"
"13","Green                     Draymond Green","PF","23","$875,500","1.49%","$875,500","$875,500","$875,500","$875,500","2027"
"14","Kuzmic                     Ognjen Kuzmic","C","23","$490,180","0.84%","$490,180","$490,180","$490,180","'-","2015"
"15","Armstrong                     Hilton Armstrong","C","29","$41,614","0.07%","$41,614","$41,614","$48,349","'-","2014"

