" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Varejao                     Anderson Varejao","PF","34","$980,431","1.04%","$980,431","$980,431","$1,551,659","'-"
"2","Thompson                     Jason Thompson","PF","30","$945,126","1.00%","$945,126","$945,126","$945,126","'-"
"3","Williams                     Elliot Williams","SG","27","$250,000","0.27%","$250,000","$250,000","$250,000","'-"
"4","Calderon                     Jose Calderon","PG","35","$247,991","0.26%","$247,991","$247,991","$392,478","'-"
"5","Weber                     Briante Weber","PG","24","$61,739","0.07%","$61,739","$69,207","$61,739","$61,739"
"6","Weber                     Briante Weber","PG","24","$51,449","0.05%","$51,449","$57,672","$51,449","$51,449"
"7","Jones                     Cameron Jones","SG","27","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"8","Cook                     Elgin Cook","SF","24","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"9","Wood                     Scott Wood","SF","26","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"10","Pressey                     Phil Pressey","PG","25","$35,000","0.04%","$35,000","$35,000","$35,000","'-"

