"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Curry                   Stephen Curry","PG","38","VET-EXT","$62,587,158","37.70%","$62,587,158","'-","'-","'-","$62,587,158"
"Butler                   Jimmy Butler","SF","37","VET-EXT","$56,832,773","34.24%","$56,832,773","'-","'-","'-","$56,832,773"
"Green                   Draymond Green","PF","36","FA","$27,678,571","16.67%","$27,678,571","'-","'-","'-","$27,678,571"
"Moody                   Moses Moody","SG","24","RK-EXT","$12,500,000","7.53%","$12,500,000","'-","$500,000","'-","$12,500,000"
"Horford                   Al Horford","C","40","FA","$5,969,250","3.60%","$5,969,250","'-","'-","'-","'-"
"Podziemski                   Brandin Podziemski","SG","23","RK-1ST","$5,679,459","3.42%","$5,679,459","'-","'-","'-","$5,679,459"
"Melton                   De'Anthony Melton","SG","28","FA","$3,451,779","2.08%","$3,451,779","'-","'-","'-","$3,451,779"
"Richard                   Will Richard","G","24","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"
"Spencer                   Pat Spencer","G","30","ROS","$-1","'-","$-1","'-","'-","'-","'-"

