"Player (19)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Porzingis                   Kristaps Porzingis","PF","31","VET-EXT","$46,097,561","27.77%","'-","","","Bird",""
"Santos                   Gui Santos","SF","24","RK-2ND","$2,999,264","1.81%","$2,999,264","","","Restricted Bird",""
"Post                   Quinten Post","C","26","ROS","$2,664,849","1.61%","$2,664,849","","","Restricted Early Bird",""
"West                   David West","PF","46","","$2,464,849","1.48%","'-","","","Early Bird",""
"Payton II                   Gary Payton II","PG","34","FA","$2,464,849","1.48%","'-","","","Bird",""
"Lamb                   Anthony Lamb","SF","29","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Jerebko                   Jonas Jerebko","PF","39","","$2,464,849","1.48%","'-","","","Non-Bird",""
"Iguodala                   Andre Iguodala","SF","43","FA","$2,464,849","1.48%","'-","","","Early Bird",""
"Green                   JaMychal Green","PF","36","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Garuba                   Usman Garuba","PF","24","ROS","$2,464,849","1.48%","'-","","","Non-Bird",""
"Curry                   Seth Curry","SG","36","ROS","$2,464,849","1.48%","'-","","","",""
"Bogut                   Andrew Bogut","C","42","","$2,464,849","1.48%","'-","","","Non-Bird",""
"Bjelica                   Nemanja Bjelica","PF","38","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Barnes                   Matt Barnes","SF","46","","$2,464,849","1.48%","'-","","","Non-Bird",""
"Knox                   Kevin Knox","SF","27","ROS","$2,457,009","1.48%","'-","","","Non-Bird",""
"Robinson                   Jerome Robinson","SG","29","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Armstrong                   Taran Armstrong","G","25","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Williams                   Jeenathan Williams","SG","27","2W","$2,198,879","1.32%","$2,198,879","","","",""
"Mannion                   Nico Mannion","PG","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $4,098,942"," "," "," "," "," "," "

