" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Barnes                     Matt Barnes","SF","49","$2,853,371","1.48%","","","","","Non-Bird"
"2","Bogut                     Andrew Bogut","C","45","$2,853,371","1.48%","","","","","Non-Bird"
"3","West                     David West","PF","49","$2,853,371","1.48%","","","","","Early Bird"
"4","Iguodala                     Andre Iguodala","SF","46","$2,853,371","1.48%","","","","","Early Bird"
"5","Jerebko                     Jonas Jerebko","PF","42","$2,853,371","1.48%","","","","","Non-Bird"
"6","Bjelica                     Nemanja Bjelica","PF","41","$2,853,371","1.48%","","","","","Non-Bird"
"7","Green                     JaMychal Green","PF","39","$2,853,371","1.48%","","","","","Non-Bird"
"8","Lamb                     Anthony Lamb","SF","32","$2,853,371","1.48%","","","","","Non-Bird"
"9","Garuba                     Usman Garuba","PF","27","$2,853,371","1.48%","","","","","Non-Bird"
"10","Knox                     Kevin Knox","SF","30","$2,844,292","1.48%","","","","","Non-Bird"
"11","Richard                     Will Richard","G","27","$2,844,292","1.48%","","","","",""
"12","Mannion                     Nico Mannion","PG","28","$2,545,477","1.32%","","","","","Two-Way"
"13","Robinson                     Jerome Robinson","SG","32","$2,545,477","1.32%","","","","","Two-Way"
"14","Armstrong                     Taran Armstrong","G","28","$2,545,477","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $18,980,160"," "," "," "," "," "," "

