" ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","McLemore                     Ben McLemore","SF","27","$2,283,034","2.09%","$2,283,034","$2,283,034","$2,283,034","'-"
"2","Cousins                     DeMarcus Cousins","C","30","$1,620,564","1.48%","$1,620,564","$1,620,564","$2,331,593","'-"
"3","Clemons                     Chris Clemons","PG","23","$1,517,981","1.39%","$1,517,981","$1,701,593","$1,517,981","'-"
"4","Caboclo                     Bruno Caboclo","SF","25","$361,256","0.33%","$361,256","$361,256","$361,256","'-"
"5","Williams                     Troy Williams","SF","26","$122,741","0.11%","$122,741","$122,741","$122,741","'-"
"6","Thomas                     Khyri Thomas","SG","24","$110,998","0.10%","$110,998","$110,998","$110,998","$110,998"
"7","Jones                     Mason Jones","SG","22","$61,528","0.06%","$61,528","$110,998","$61,528","$61,528"
"8","Grant                     Jerian Grant","PG","28","$50,000","0.05%","$50,000","$50,000","$50,000","'-"
"9","Oliver                     Cameron Oliver","PF","24","$43,070","0.04%","$43,070","$77,698","$43,070","$43,070"
"10","Reynolds                     Cam Reynolds","F","25","$33,299","0.03%","$33,299","$33,299","$33,299","$33,299"

