"Player (9 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Durant                   Kevin Durant","SF","38","VET-EXT","$43,902,439","26.45%","$43,902,439","'-","'-","'-","$43,902,439"
"Sengun                   Alperen Sengun","C","24","RK-EXT","$35,642,202","21.47%","$35,642,202","'-","'-","'-","$35,642,202"
"VanVleet                   Fred VanVleet","PG","32","FA","$25,000,000","15.06%","$25,000,000","'-","'-","'-","$25,000,000"
"Smith Jr.                   Jabari Smith Jr.","PF","23","RK-EXT","$23,643,411","14.24%","$23,643,411","'-","'-","'-","$23,643,411"
"Finney-Smith                   Dorian Finney-Smith","PF","33","FA","$13,335,000","8.03%","$13,335,000","'-","'-","'-","$13,335,000"
"Adams                   Steven Adams","C","33","VET-EXT","$13,000,000","7.83%","$13,000,000","'-","'-","'-","$13,000,000"
"Thompson                   Amen Thompson","PG","24","RK-1ST","$12,258,609","7.38%","$12,258,609","'-","'-","'-","$12,258,609"
"Sheppard                   Reed Sheppard","SG","22","RK-1ST","$11,108,880","6.69%","$11,108,880","'-","'-","'-","$11,108,880"
"Capela                   Clint Capela","C","32","S&T","$7,035,000","4.24%","$7,035,000","'-","'-","'-","$7,035,000"

