"Player (10)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Eason                   Tari Eason","PF","25","RK-1ST","$17,027,298","10.26%","$8,014,182","","","Restricted Bird",""
"Tate                   Jae’Sean Tate","SF","31","FA","$2,464,849","1.48%","'-","","","Bird",""
"Okogie                   Josh Okogie","SG","28","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"Marjanovic                   Boban Marjanovic","C","38","FA","$2,464,849","1.48%","'-","","","Bird",""
"Holiday                   Aaron Holiday","PG","30","FA","$2,464,849","1.48%","'-","","","Bird",""
"Green                   Jeff Green","PF","40","FA","$2,464,849","1.48%","'-","","","Bird",""
"Davison                   J.D. Davison","PG","24","2W","$2,464,849","1.48%","'-","","","Two-Way",""
"Bullock                   Reggie Bullock","SF","35","FA","$2,464,849","1.48%","'-","","","Non-Bird",""
"McVeigh                   Jack McVeigh","F","30","2W","$2,198,879","1.32%","'-","","","Two-Way",""
"Crawford                   Isaiah Crawford","G","25","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $4,098,942"," "," "," "," "," "," "

