" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","George                     Paul George","SF","25","$17,120,106","24.46%","$17,120,106","$17,120,106","$17,120,106","$17,120,106","2028"
"2","Ellis                     Monta Ellis","SG","30","$10,300,000","14.71%","$10,300,000","$10,300,000","$10,300,000","'-","2019"
"3","Hill                     George Hill","PG","29","$8,000,000","11.43%","$8,000,000","$8,000,000","$8,000,000","$8,000,000","2017"
"4","Stuckey                     Rodney Stuckey","PG","29","$7,000,000","10.00%","$7,000,000","$7,000,000","$7,000,000","'-","2018"
"5","Miles                     C.J. Miles","SF","28","$4,394,225","6.28%","$4,394,225","$4,394,225","$4,394,225","'-","2018"
"6","Allen                     LaVoy Allen","PF","26","$4,050,000","5.79%","$4,050,000","$4,050,000","$4,050,000","'-","2018"
"7","Mahinmi                     Ian Mahinmi","C","29","$4,000,000","5.71%","$4,000,000","$4,000,000","$4,000,000","$4,000,000","2016"
"8","Hill                     Jordan Hill","C","28","$4,000,000","5.71%","$4,000,000","$4,000,000","$4,000,000","'-","2016"
"9","Turner                     Myles Turner","C","19","$2,357,760","3.37%","$2,357,760","$2,357,760","$2,357,760","$2,357,760","2029"
"10","Hill                     Solomon Hill","SF","24","$1,358,880","1.94%","$1,358,880","$1,358,880","$1,358,880","$1,358,880","2016"
"11","Robinson III                     Glenn Robinson III","SG","22","$1,100,000","1.57%","$1,100,000","$1,100,000","$1,100,000","'-","2018"
"12","Christmas                     Rakeem Christmas","PF","24","$1,007,026","1.44%","$1,007,026","$1,007,026","$1,007,026","'-","2019"
"13","Young                     Joseph Young","PG","23","$1,007,026","1.44%","$1,007,026","$1,007,026","$1,007,026","$1,007,026","2018"
"14","Whittington                     Shayne Whittington","PF","24","$845,059","1.21%","$845,059","$845,059","$845,059","'-","2017"
"15","Lawson                     Ty Lawson","PG","28","$211,744","0.30%","$211,744","$211,744","$265,058","'-","2016"

