"Player (10 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Siakam                   Pascal Siakam","PF","33","FA","$52,298,736","30.01%","$52,298,736","'-","'-","'-","$52,298,736"
"Haliburton                   Tyrese Haliburton","PG","27","DRK-EXT","$52,298,736","30.01%","$52,298,736","'-","'-","'-","$52,298,736"
"Nembhard                   Andrew Nembhard","PG","28","VET-EXT","$20,998,320","12.05%","$20,998,320","'-","'-","'-","$20,998,320"
"Nesmith                   Aaron Nesmith","SF","28","VET-EXT","$19,418,000","11.14%","$19,418,000","'-","'-","'-","$19,418,000"
"Toppin                   Obi Toppin","PF","29","FA","$16,025,000","9.19%","$16,025,000","'-","$440,000","'-","$16,025,000"
"McConnell                   T.J. McConnell","PG","35","VET-EXT","$11,800,000","6.77%","$11,800,000","'-","'-","'-","$5,000,000"
"Jackson                   Isaiah Jackson","PF","26","FA","$6,400,000","3.67%","$6,400,000","'-","'-","'-","$6,400,000"
"Huff                   Jay Huff","C","29","","$3,005,085","1.72%","$3,005,085","'-","'-","'-","'-"
"Jones                   Kam Jones","PG","25","RK-2ND","$2,525,901","1.45%","$2,525,901","'-","'-","'-","'-"
"Furphy                   Johnny Furphy","SG","23","RK-2ND","$2,486,995","1.43%","$2,486,995","'-","'-","'-","'-"

