"Player (15 of 15 + 3 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Leonard                   Kawhi Leonard","SF","32","FA","$45,640,084","33.55%","$45,640,084","'-","'-","'-","$45,640,084"
"George                   Paul George","SG","33","VET-EXT","$45,640,084","33.55%","$45,640,084","'-","'-","'-","$45,640,084"
"Harden                   James Harden","SG","34","FA","$35,680,595","26.23%","$35,640,000","'-","'-","'-","$35,640,000"
"Powell                   Norman Powell","SG","30","FA","$18,000,000","13.23%","$18,000,000","'-","'-","'-","$18,000,000"
"Tucker                   P.J. Tucker","PF","38","FA","$11,014,500","8.10%","$11,014,500","'-","'-","'-","$11,014,500"
"Zubac                   Ivica Zubac","C","26","VET-EXT","$10,933,333","8.04%","$10,933,333","'-","'-","'-","$10,933,333"
"Mann                   Terance Mann","SG","27","VET-EXT","$10,576,923","7.78%","$10,576,923","'-","'-","'-","$10,576,923"
"Plumlee                   Mason Plumlee","C","33","FA","$5,000,000","3.68%","$5,000,000","'-","'-","'-","$5,000,000"
"Westbrook                   Russell Westbrook","PG","35","FA","$3,835,738","2.82%","$3,835,738","'-","'-","'-","$3,835,738"
"Coffey                   Amir Coffey","SG","26","FA","$3,666,667","2.70%","$3,666,667","'-","'-","'-","$3,666,667"
"Brown                   Kobe Brown","PF","24","RK-1ST","$2,413,320","1.77%","$2,413,320","'-","'-","'-","$2,413,320"
"Hyland                   Nah'Shon Hyland","PG","23","RK-1ST","$2,306,400","1.70%","$2,306,400","'-","'-","'-","$2,306,400"
"Boston Jr                   Brandon Boston Jr","SG","22","RK","$1,836,096","1.35%","$1,836,096","'-","'-","'-","$1,836,096"
"Theis                   Daniel Theis","C","31","ROS","$1,741,126","1.28%","$2,179,511","'-","'-","'-","$2,179,511"
"Jones                   Kai Jones","PF","23","ROS","$11,608","0.01%","$11,608","'-","'-","'-","$11,608"
"Moon                   Xavier Moon","SG","29","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Miller                   Jordan Miller","SF","24","2W","Two-Way","'-","'-","'-","'-","'-","'-"
"Diabate                   Moussa Diabate","PF","22","2W","Two-Way","'-","'-","'-","'-","'-","'-"

