" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Leonard                     Kawhi Leonard","SF","34","$50,000,000","32.33%","$50,000,000","$50,000,000","$50,000,000","$50,000,000","2027"
"2","Garland                     Darius Garland","PG","26","$39,446,090","25.51%","$39,446,090","$39,446,090","$15,415,713","$39,446,090","2028"
"3","Collins                     John Collins","PF","28","$26,580,000","17.19%","$26,580,000","$26,580,000","$26,580,000","$26,580,000","2026"
"4","Bogdanovic                     Bogdan Bogdanovic","SG","33","$16,020,000","10.36%","$16,020,000","$16,020,000","$16,020,000","$16,020,000","2027"
"5","Jones Jr.                     Derrick Jones Jr.","SF","28","$10,000,000","6.47%","$10,000,000","$10,000,000","$10,000,000","$10,000,000","2027"
"6","Mathurin                     Bennedict Mathurin","SG","23","$9,187,573","5.94%","$9,187,573","$9,187,573","$3,484,941","$9,187,573","2026"
"7","Lopez                     Brook Lopez","C","37","$8,750,000","5.66%","$8,750,000","$8,750,000","$8,750,000","$8,750,000","2027"
"8","Jackson                     Isaiah Jackson","PF","24","$7,600,000","4.91%","$7,600,000","$7,600,000","$2,882,759","$7,600,000","2028"
"9","Batum                     Nicolas Batum","SF","37","$5,601,600","3.62%","$5,601,600","$5,601,600","$5,601,600","$5,601,600","2027"
"10","Dunn                     Kris Dunn","PG","31","$5,426,400","3.51%","$5,426,400","$5,426,400","$5,426,400","$5,426,400","2027"
"11","Beal                     Bradley Beal","SG","32","$5,354,000","3.46%","$5,354,000","$5,354,000","$5,354,000","$5,354,000","2027"
"12","Konan Niederhauser                     Yanic Konan Niederhauser","F","22","$2,743,800","1.77%","$2,743,800","$2,743,800","$2,743,800","$2,743,800","2029"
"13","Christie                     Cameron Christie","SG","20","$1,955,377","1.26%","$1,955,377","$1,955,377","$1,955,377","$1,955,377","2028"
"14","Sanders                     Kobe Sanders","G","23","$475,497","0.31%","$475,497","$475,497","$475,497","$475,497","2027"
"15","Banton                     Dalano Banton","PG","26","$131,970","0.09%","$131,970","$131,970","$141,463","$141,463",""

