" ","Player (13)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","Leonard                     Kawhi Leonard","SF","36","$66,150,700","37.95%","","","","","Bird"
"2","Harden                     James Harden","SG","38","$55,012,499","31.56%","","","","","Bird"
"3","Bogdanovic                     Bogdan Bogdanovic","SG","35","$24,030,000","13.79%","","","","","Bird"
"4","Jones Jr.                     Derrick Jones Jr.","SF","30","$19,904,761","11.42%","","","","","Bird"
"5","Lopez                     Brook Lopez","C","39","$11,943,750","6.85%","","","","","Early Bird"
"6","Batum                     Nicolas Batum","SF","39","$11,175,192","6.41%","","","","","Bird"
"7","Beal                     Bradley Beal","SG","34","$7,308,210","4.19%","","","","","Early Bird"
"8","Dunn                     Kris Dunn","PG","33","$5,684,800","3.26%","","","","","Bird"
"9","Sanders                     Kobe Sanders","G","25","$2,765,467","1.59%","","","","","Restricted Early Bird"
"10","Mills                     Patty Mills","PG","39","$2,588,091","1.48%","","","","","Non-Bird"
"11","Hood                     Rodney Hood","SF","35","$2,588,091","1.48%","","","","","Non-Bird"
"12","Simmons                     Ben Simmons","PG","31","$2,588,091","1.48%","","","","","Non-Bird"
"13","Moon                     Xavier Moon","SG","33","$2,308,823","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $11,477,040"," "," "," "," "," "," "

