" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","James                     LeBron James","SF","36","$39,219,566","35.94%","$39,219,566","$39,219,566","$39,219,566","$39,219,566","2026"
"2","Davis                     Anthony Davis","PF","27","$32,742,000","30.00%","$32,742,000","$32,742,000","$32,742,000","$32,742,000","2028"
"3","Schröder                     Dennis Schröder","PG","27","$16,000,000","14.66%","$17,500,000","$16,000,000","$16,000,000","$15,500,000","2028"
"4","Caldwell-Pope                     Kentavious Caldwell-Pope","SG","27","$12,073,020","11.06%","$12,073,020","$12,073,020","$12,073,020","$12,073,020","2027"
"5","Harrell                     Montrezl Harrell","C","27","$9,258,000","8.48%","$9,258,000","$9,258,000","$9,258,000","$9,258,000","2022"
"6","Matthews                     Wesley Matthews","SG","34","$3,623,000","3.32%","$3,623,000","$3,623,000","$3,623,000","$3,623,000","2021"
"7","Kuzma                     Kyle Kuzma","PF","25","$3,562,178","3.26%","$3,562,178","$3,562,178","$3,562,178","$3,562,178","2027"
"8","Caruso                     Alex Caruso","SG","26","$2,750,000","2.52%","$2,750,000","$2,750,000","$2,750,000","$2,750,000","2029"
"9","Gasol                     Marc Gasol","C","36","$2,564,753","2.35%","$2,564,753","$2,564,753","$2,564,753","$2,564,753","2022"
"10","McKinnie                     Alfonzo McKinnie","SF","28","$1,762,796","1.62%","$1,762,796","$1,762,796","$1,762,796","$1,762,796","2023"
"11","Dudley                     Jared Dudley","SF","35","$1,620,564","1.48%","$1,620,564","$1,620,564","$2,564,753","$2,564,753","2021"
"12","Morris                     Markieff Morris","PF","31","$1,620,564","1.48%","$1,620,564","$1,620,564","$2,331,593","$2,331,593","2021"
"13","Horton-Tucker                     Talen Horton-Tucker","SG","20","$1,517,981","1.39%","$1,517,981","$1,507,512","$1,517,981","$1,517,981","2021"
"14","Drummond                     Andre Drummond","C","27","$554,988","0.51%","$554,988","$554,988","$794,536","$794,536","2021"
"15","McLemore                     Ben McLemore","SF","27","$455,090","0.42%","$455,090","$455,090","$569,674","$569,674","2021"
"16","Antetokounmpo                     Kostas Antetokounmpo","PF","23","Two-Way","'-","'-","'-","'-","'-","2021"
"17","Cacok                     Devontae Cacok","C","24","Two-Way","'-","'-","'-","'-","'-","2021"

