" ","Player (9)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Deng                     Luol Deng","SF","36","$5,000,000","4.45%","$5,000,000","$5,000,000","$5,000,000","'-"
"2","Ariza                     Trevor Ariza","SF","36","$1,669,178","1.48%","$1,669,178","$1,669,178","$2,641,691","'-"
"3","Jordan                     DeAndre Jordan","C","33","$1,669,178","1.48%","$1,669,178","$1,669,178","$2,641,691","'-"
"4","Johnson                     Stanley Johnson","SF","25","$95,930","0.09%","$95,930","$95,930","$120,083","$120,083"
"5","Johnson                     Stanley Johnson","SF","25","$95,930","0.09%","$95,930","$95,930","$120,083","$120,083"
"6","Collison                     Darren Collison","PG","34","'-","'-","'-","'-","$151,821","$151,821"
"7","Thomas                     Isaiah Thomas","PG","32","'-","'-","'-","'-","$138,019","$138,019"
"8","Johnson                     Stanley Johnson","SF","25","'-","'-","'-","'-","$120,083","$120,083"
"9","Jones                     Jermerrio Jones","F","26","'-","'-","'-","'-","$85,578","$85,578"

