"Player (10 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Doncic                   Luka Doncic","PG","27","VET-EXT","$49,800,000","30.00%","$49,800,000","'-","'-","'-","$49,800,000"
"Reaves                   Austin Reaves","SG","28","FA","$14,898,786","8.98%","$14,898,786","'-","'-","'-","$14,898,786"
"Vanderbilt                   Jarred Vanderbilt","PF","27","VET-EXT","$12,428,571","7.49%","$12,428,571","'-","'-","'-","$12,428,571"
"Ayton                   Deandre Ayton","C","28","FA","$8,104,000","4.88%","$8,104,000","'-","'-","'-","$8,104,000"
"LaRavia                   Jake LaRavia","PF","25","FA","$6,000,000","3.61%","$6,000,000","'-","'-","'-","$6,000,000"
"Smart                   Marcus Smart","PG","32","FA","$5,390,700","3.25%","$5,390,700","'-","'-","'-","$5,390,700"
"Knecht                   Dalton Knecht","SF","25","RK-1ST","$4,201,080","2.53%","$4,201,080","'-","'-","'-","$4,201,080"
"Bufkin                   Kobe Bufkin","PG","23","ROS","$2,497,812","1.50%","$2,497,812","'-","'-","'-","'-"
"James                   Bronny James","PG","22","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","$1,258,873"
"Thiero                   Adou Thiero","SF","22","RK-2ND","$2,150,917","1.30%","$2,150,917","'-","'-","'-","$2,150,917"

