" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap"," "," "," "," "," "
"1","James                     LeBron James","PF","42","$59,539,200","35.87%","","","","","Bird"
"2","Hachimura                     Rui Hachimura","PF","28","$27,388,889","16.50%","","","","","Bird"
"3","Vincent                     Gabe Vincent","PG","30","$21,850,000","13.16%","","","","","Bird"
"4","Kleber                     Maxi Kleber","PF","35","$20,900,000","12.59%","","","","","Bird"
"5","Hayes                     Jaxson Hayes","C","26","$4,484,120","2.70%","","","","","Early Bird"
"6","Dudley                     Jared Dudley","SF","41","$2,464,849","1.48%","","","","","Early Bird"
"7","Anthony                     Carmelo Anthony","PF","42","$2,464,849","1.48%","","","","","Non-Bird"
"8","Howard                     Dwight Howard","C","41","$2,464,849","1.48%","","","","","Non-Bird"
"9","Ellington                     Wayne Ellington","SG","39","$2,464,849","1.48%","","","","","Non-Bird"
"10","Bradley                     Avery Bradley","PG","36","$2,464,849","1.48%","","","","","Non-Bird"
"11","Morris                     Markieff Morris","PF","37","$2,464,849","1.48%","","","","","Bird"
"12","Waiters                     Dion Waiters","SG","35","$2,464,849","1.48%","","","","","Non-Bird"
"13","Smith Jr.                     Nick Smith Jr.","PG","22","$2,198,879","1.32%","","","","","Two-Way"
"14","Timme                     Drew Timme","F","26","$2,198,879","1.32%","","","","",""
"15","Manon                     Chris Manon","G","25","$2,198,879","1.32%","","","","","Two-Way"
"Incomplete Roster Charge","","","","                                                   $4,098,942"," "," "," "," "," "," "

