"Player (12)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Reaves                   Austin Reaves","SG","29","FA","$22,348,179","12.82%","'-","","","Bird",""
"Ayton                   Deandre Ayton","C","29","FA","$10,535,200","6.04%","'-","","","Early Bird",""
"LaRavia                   Jake LaRavia","PF","26","FA","$7,800,000","4.48%","'-","","","Early Bird",""
"Smart                   Marcus Smart","PG","33","FA","$7,007,910","4.02%","'-","","","Early Bird",""
"Waiters                   Dion Waiters","SG","36","ROS","$2,588,091","1.48%","'-","","","Non-Bird",""
"Morris                   Markieff Morris","PF","38","","$2,588,091","1.48%","'-","","","Bird",""
"Howard                   Dwight Howard","C","42","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Ellington                   Wayne Ellington","SG","40","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Dudley                   Jared Dudley","SF","42","FA","$2,588,091","1.48%","'-","","","Early Bird",""
"Bufkin                   Kobe Bufkin","PG","24","ROS","$2,588,091","1.48%","'-","","","Early Bird",""
"Bradley                   Avery Bradley","PG","37","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Anthony                   Carmelo Anthony","PF","43","FA","$2,588,091","1.48%","'-","","","Non-Bird",""
"Incomplete Roster Charge"," "," "," ","                                   $10,042,410"," "," "," "," "," "," "

