" ","Player (25)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Oladipo                     Victor Oladipo","SG","31","$9,450,000","6.95%","$9,450,000","$9,450,000","$3,964,655","'-"
"2","Biyombo                     Bismack Biyombo","C","31","$5,000,000","3.68%","$5,000,000","$5,000,000","$5,000,000","'-"
"3","Christopher                     Josh Christopher","SG","22","$2,485,200","1.83%","$2,485,200","$2,485,200","$2,485,200","'-"
"4","Metu                     Chimezie Metu","C","26","$2,019,706","1.48%","$2,019,706","$2,019,706","$890,095","'-"
"5","Todd                     Isaiah Todd","PF","22","$1,836,096","1.35%","$1,836,096","$1,836,096","$1,836,096","'-"
"6","Chandler                     Kennedy Chandler","PG","21","$1,719,864","1.26%","$1,719,864","$1,719,864","$1,719,864","'-"
"7","Lofton Jr.                     Kenneth Lofton Jr.","PF","21","$1,719,864","1.26%","$1,719,864","$1,719,864","$1,719,864","'-"
"8","Harrison                     Shaquille Harrison","PG","30","$116,075","0.09%","$116,075","$116,075","$145,301","'-"
"9","Gabriel                     Wenyen Gabriel","PF","26","$116,075","0.09%","$116,075","$116,075","$134,863","$134,863"
"10","Nowell                     Jaylen Nowell","SG","24","$116,075","0.09%","$116,075","$116,075","$124,425","$124,425"
"11","Nowell                     Jaylen Nowell","SG","24","$116,075","0.09%","$116,075","$116,075","$124,425","$124,425"
"12","Goodwin                     Jordan Goodwin","PG","25","$116,075","0.09%","$116,075","$116,075","$116,075","$116,075"
"13","Simpson                     Zavier Simpson","PG","26","$103,550","0.08%","$103,550","$116,075","$103,550","$103,550"
"14","Jarreau                     DeJon Jarreau","SG","26","$103,550","0.08%","$103,550","$116,075","$103,550","$103,550"
"15","Jarreau                     DeJon Jarreau","SG","26","$103,550","0.08%","$103,550","$116,075","$103,550","$103,550"
"16","Hurt                     Matthew Hurt","PF","23","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"17","Hurt                     Matthew Hurt","PF","23","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"18","Evbuomwan                     Tosan Evbuomwan","SG","22","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"19","Jemison                     Trey Jemison","PF","24","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"20","Jemison                     Trey Jemison","PF","24","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"21","Pereira                     Maozinha Pereira","F","23","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"22","Pereira                     Maozinha Pereira","F","23","$64,343","0.05%","$64,343","$116,075","$64,343","$64,343"
"23","Simpson                     Zavier Simpson","PG","26","$62,130","0.05%","$62,130","$69,645","$62,130","$62,130"
"24","White                     Jack White","SF","26","$62,130","0.05%","$62,130","$69,645","$62,130","$62,130"
"25","Allen                     Timmy Allen","SF","24","$57,908","0.04%","$57,908","$104,468","$57,908","$57,908"

