" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Morant                     Ja Morant","PG","25","$36,725,670","26.12%","$36,725,670","$36,725,670","$36,725,670","$36,725,670","2028"
"2","Bane                     Desmond Bane","SG","26","$34,005,250","24.19%","$35,147,000","$34,005,250","$34,005,250","$34,005,250","2029"
"3","Jackson Jr.                     Jaren Jackson Jr.","PF","25","$25,257,798","17.97%","$25,257,798","$25,257,798","$25,257,798","$25,257,798","2030"
"4","Bagley III                     Marvin Bagley III","PF","25","$12,500,000","8.89%","$12,500,000","$12,500,000","$4,741,379","$12,500,000","2026"
"5","Clarke                     Brandon Clarke","PF","28","$12,500,000","8.89%","$13,000,000","$12,500,000","$12,500,000","$12,500,000","2027"
"6","Kennard                     Luke Kennard","SG","28","$9,250,000","6.58%","$10,637,500","$9,250,000","$9,250,000","$9,250,000","2026"
"7","Konchar                     John Konchar","SG","28","$6,165,000","4.39%","$6,165,000","$6,165,000","$6,165,000","$6,165,000","2027"
"8","Edey                     Zach Edey","C","22","$5,756,880","4.09%","$5,756,880","$5,756,880","$5,756,880","$5,756,880","2028"
"9","Aldama                     Santi Aldama","C","24","$3,960,531","2.82%","$3,960,531","$3,960,531","$3,960,531","$3,960,531","2028"
"10","Williams Jr.                     Vincent Williams Jr.","SF","24","$2,120,693","1.51%","$2,120,693","$2,120,693","$2,120,693","$2,120,693","2027"
"11","Huff                     Jay Huff","C","26","$2,088,033","1.49%","$2,088,033","$2,088,033","$2,088,033","$2,088,033","2028"
"12","Pippen Jr.                     Scotty Pippen Jr.","PG","24","$2,087,519","1.48%","$2,087,519","$2,087,519","$2,087,519","$2,087,519","2028"
"13","Jackson                     G.G. Jackson","PF","20","$1,891,857","1.35%","$1,891,857","$1,891,857","$1,891,857","$1,891,857","2027"
"14","Wells                     Jaylen Wells","SG","21","$1,157,153","0.82%","$1,157,153","$1,157,153","$1,157,153","$1,157,153","2028"
"15","Stevens                     Lamar Stevens","SF","27","$383,912","0.27%","$383,912","$383,912","$411,529","$411,529","2025"
"16","Spencer                     Cam Spencer","SG","24","Two-Way","'-","'-","'-","'-","'-","2029"
"17","Pullin                     Zyon Pullin","PG","23","Two-Way","'-","'-","'-","'-","'-","2026"
"18","Kawamura                     Yuki Kawamura","G","23","Two-Way","'-","'-","'-","'-","'-","2026"

