"Player (14 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Morant                   Ja Morant","PG","27","DRK-EXT","$42,166,510","25.40%","$42,166,510","'-","'-","'-","$42,166,510"
"Caldwell-Pope                   Kentavious Caldwell-Pope","SG","33","FA","$21,621,500","13.03%","$21,621,500","'-","'-","'-","$21,621,500"
"Aldama                   Santi Aldama","C","26","FA","$17,007,043","10.25%","$17,007,043","'-","'-","'-","$17,007,043"
"Clarke                   Brandon Clarke","PF","30","RK-EXT","$12,500,000","7.53%","$12,500,000","'-","$500,000","'-","$12,500,000"
"Anderson                   Kyle Anderson","PF","33","S&T","$9,658,536","5.82%","$9,658,536","'-","'-","'-","'-"
"Jerome                   Ty Jerome","SG","29","FA","$9,220,050","5.55%","$9,220,050","'-","'-","'-","$9,220,050"
"Hendricks                   Taylor Hendricks","PF","23","RK-1ST","$7,805,900","4.70%","$7,805,900","'-","'-","'-","$7,805,900"
"Edey                   Zach Edey","C","24","RK-1ST","$6,332,760","3.81%","$6,332,760","'-","'-","'-","'-"
"Coward                   Cedric Coward","SG","23","RK-1ST","$6,001,080","3.62%","$6,001,080","'-","'-","'-","$6,001,080"
"Clayton Jr.                   Walter Clayton Jr.","PG","23","RK-1ST","$4,190,520","2.52%","$4,190,520","'-","'-","'-","$4,190,520"
"Pippen Jr.                   Scotty Pippen Jr.","PG","26","","$2,461,462","1.48%","$2,461,462","'-","'-","'-","$350,000"
"Spencer                   Cam Spencer","SG","26","FA","$2,411,090","1.45%","$2,411,090","'-","'-","'-","$2,411,090"
"Jackson                   G.G. Jackson","PF","22","ROS","$2,406,205","1.45%","$2,406,205","'-","'-","'-","'-"
"Wells                   Jaylen Wells","SG","23","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","$300,000"

