" ","Player (15)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","James                     LeBron James","PF","28","$17,545,000","30.23%","$17,545,000","$17,545,000","$17,545,000","$17,545,000","2026"
"2","Bosh                     Chris Bosh","PF","28","$17,545,000","30.23%","$17,545,000","$17,545,000","$17,545,000","'-","2014"
"3","Wade                     Dwyane Wade","SG","31","$17,182,000","29.60%","$17,182,000","$17,182,000","$17,182,000","$17,182,000","2016"
"4","Miller                     Mike Miller","SG","32","$5,800,000","9.99%","$5,800,000","$5,800,000","$5,800,000","$5,800,000","2015"
"5","Haslem                     Udonis Haslem","PF","32","$4,060,000","6.99%","$4,060,000","$4,060,000","$4,060,000","'-","2014"
"6","Chalmers                     Mario Chalmers","PG","26","$4,000,000","6.89%","$4,000,000","$4,000,000","$4,000,000","'-","2014"
"7","Anthony                     Joel Anthony","C","30","$3,750,000","6.46%","$3,750,000","$3,750,000","$3,750,000","'-","2015"
"8","Battier                     Shane Battier","SF","34","$3,135,000","5.40%","$3,135,000","$3,135,000","$3,135,000","'-","2014"
"9","Allen                     Ray Allen","SG","37","$3,090,000","5.32%","$3,090,000","$3,090,000","$3,090,000","'-","2014"
"10","Jones                     James Jones","SG","32","$1,500,000","2.58%","$1,500,000","$1,500,000","$1,500,000","$1,500,000","2014"
"11","Lewis                     Rashard Lewis","PF","33","$1,352,181","2.33%","$1,352,181","$1,352,181","$1,352,181","'-","2014"
"12","Cole                     Norris Cole","PG","24","$1,082,520","1.87%","$1,082,520","$1,082,520","$1,082,520","'-","2015"
"13","Andersen                     Chris Andersen","PF","34","$341,756","0.59%","$341,756","$341,756","$540,872","'-","2013"
"14","Varnado                     Jarvis Varnado","PF","24","$217,301","0.37%","$217,301","$217,301","$217,301","'-","2013"
"15","Howard                     Juwan Howard","PF","39","$135,697","0.23%","$135,697","$135,697","$214,758","'-","2013"

