" ","Player (14)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Anderson                     Ryan Anderson","PF","33","$5,214,584","4.64%","$5,214,584","$5,214,584","$5,214,584","'-"
"2","Highsmith                     Haywood Highsmith","F","25","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"3","Highsmith                     Haywood Highsmith","F","25","$85,578","0.08%","$85,578","$95,930","$85,578","$85,578"
"4","Chalmers                     Mario Chalmers","PG","35","'-","'-","'-","'-","$138,019","$138,019"
"5","Stauskas                     Nik Stauskas","SG","28","'-","'-","'-","'-","$111,457","$111,457"
"6","Guy                     Kyle Guy","SG","24","'-","'-","'-","'-","$95,930","$95,930"
"7","Guy                     Kyle Guy","SG","24","'-","'-","'-","'-","$95,930","$95,930"
"8","Silva                     Chris Silva","F","25","'-","'-","'-","'-","$95,930","$95,930"
"9","Silva                     Chris Silva","F","25","'-","'-","'-","'-","$95,930","$95,930"
"10","Silva                     Chris Silva","F","25","'-","'-","'-","'-","$95,930","$95,930"
"11","Silva                     Chris Silva","F","25","'-","'-","'-","'-","$95,930","$95,930"
"12","Highsmith                     Haywood Highsmith","F","25","'-","'-","'-","'-","$85,578","$85,578"
"13","Cheatham                     Zylan Cheatham","SF","26","'-","'-","'-","'-","$85,578","$85,578"
"14","Holman                     Aric Holman","C","24","'-","'-","'-","'-","$53,176","$53,176"

