"Player (10 of 15 + 0 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Adebayo                   Bam Adebayo","C","29","VET-EXT","$49,800,000","30.00%","$49,800,000","'-","'-","'-","$49,800,000"
"Herro                   Tyler Herro","SG","27","RK-EXT","$33,000,000","19.88%","$33,000,000","'-","$2,500,000","'-","$33,000,000"
"Wiggins                   Andrew Wiggins","SF","31","VET-EXT","$30,169,644","18.17%","$30,169,644","'-","'-","'-","$30,169,644"
"Jovic                   Nikola Jovic","SF","23","RK-EXT","$16,200,000","9.76%","$16,200,000","'-","'-","'-","$16,200,000"
"Mitchell                   Davion Mitchell","PG","28","FA","$12,400,000","7.47%","$12,400,000","'-","'-","'-","$12,400,000"
"Jaquez Jr.                   Jaime Jaquez Jr.","SF","25","RK-1ST","$5,939,141","3.58%","$5,939,141","'-","'-","'-","$5,939,141"
"Ware                   Kel'el Ware","C","22","RK-1ST","$4,654,920","2.80%","$4,654,920","'-","'-","'-","'-"
"Jakucionis                   Kasparas Jakucionis","PG","20","RK-1ST","$3,841,680","2.31%","$3,841,680","'-","'-","'-","$3,841,680"
"Smith                   Dru Smith","SG","29","FA","$2,584,539","1.56%","$2,584,539","'-","'-","'-","'-"
"Larsson                   Pelle Larsson","SG","25","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"

