"Player (11)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Qualifying Offer"," "," "," "," "
"Rozier                   Terry Rozier","PG","32","VET-EXT","$39,964,547","24.08%","'-","","","Bird",""
"Powell                   Norman Powell","SG","33","FA","$30,724,137","18.51%","'-","","","Bird",""
"Fontecchio                   Simone Fontecchio","SF","31","FA","$15,784,615","9.51%","'-","","","Bird",""
"Johnson                   Keshad Johnson","PF","25","ROS","$2,959,061","1.78%","$2,959,061","","","Restricted Early Bird",""
"Wade                   Dwyane Wade","SG","45","","$2,464,849","1.48%","'-","","","Early Bird",""
"Mickey                   Jordan Mickey","PF","32","","$2,464,849","1.48%","'-","","","Non-Bird",""
"Haslem                   Udonis Haslem","PF","46","FA","$2,464,849","1.48%","'-","","","Bird",""
"Christopher                   Josh Christopher","SG","25","2W","$2,464,849","1.48%","'-","","","Two-Way",""
"Burks                   Alec Burks","SG","35","FA","$2,457,009","1.48%","'-","","","Non-Bird",""
"Young                   Jahmir Young","PG","26","2W","$2,198,879","1.32%","$2,198,879","","","Two-Way",""
"Goldin                   Vladislav Goldin","C","25","2W","$-11","'-","$-11","","","Two-Way",""
"Incomplete Roster Charge"," "," "," ","                                   $2,732,628"," "," "," "," "," "," "

