" ","Player (16)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Mayo                     O.J. Mayo","SG","26","$8,000,000","13.63%","$8,000,000","$8,000,000","$8,000,000","'-","2016"
"2","Ilyasova                     Ersan Ilyasova","PF","26","$7,900,000","13.46%","$7,900,000","$7,900,000","$7,900,000","'-","2017"
"3","Pachulia                     Zaza Pachulia","C","29","$5,200,000","8.86%","$5,200,000","$5,200,000","$5,200,000","'-","2016"
"4","Sessions                     Ramon Sessions","PG","27","$5,000,000","8.52%","$5,000,000","$5,000,000","$5,000,000","$5,000,000","2014"
"5","Udoh                     Ekpe Udoh","PF","26","$4,469,548","7.62%","$4,469,548","$4,469,548","$4,469,548","'-","2014"
"6","Delfino                     Carlos Delfino","SG","31","$3,250,000","5.54%","$3,250,000","$3,250,000","$3,250,000","'-","2016"
"7","Sanders                     Larry Sanders","C","25","$3,053,368","5.20%","$3,053,368","$3,053,368","$3,053,368","'-",""
"8","Knight                     Brandon Knight","PG","22","$2,793,960","4.76%","$2,793,960","$2,793,960","$2,793,960","$2,793,960","2015"
"9","Henson                     John Henson","PF","23","$1,905,360","3.25%","$1,905,360","$1,905,360","$1,905,360","$1,905,360","2016"
"10","Antetokounmpo                     Giannis Antetokounmpo","SF","19","$1,792,560","3.05%","$1,792,560","$1,792,560","$1,792,560","$1,792,560","2028"
"11","Raduljica                     Miroslav Raduljica","C","26","$1,500,000","2.56%","$1,500,000","$1,500,000","$1,500,000","'-","2014"
"12","Adrien                     Jeff Adrien","SF","27","$916,099","1.56%","$916,099","$916,099","$916,099","'-","2014"
"13","Middleton                     Khris Middleton","SF","22","$788,872","1.34%","$788,872","$788,872","$788,872","$788,872","2026"
"14","Wolters                     Nate Wolters","PG","22","$500,000","0.85%","$500,000","$500,000","$500,000","'-","2016"
"15","Wright                     Chris Wright","SF","25","$9,281","0.02%","$9,281","$9,281","$9,281","'-","2014"
"16","Gooden                     Drew Gooden","PF","32","'-","'-","'-","'-","$6,687,400","'-",""

